c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.176 5353 402.032958984375 0.0 61 1 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.43.176@5353 402.032958984375 0.0 "1970-01-01 00:00:00.402032959" "1970-01-01 00:00:00.402032959" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 61.00B 0B
192.168.43.176 5353 20267.282958984375 0.0 61 1 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.43.176@5353 20267.282958984375 0.0 "1970-01-01 00:00:20.267282959" "1970-01-01 00:00:20.267282959" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 61.00B 0B
192.168.43.106 25236 22628.208984375 0.0 44 1 19 192.168.43.1 53 0.0 0.0 0 0 0 - - 192.168.43.1@53_192.168.43.106@25236 22628.208984375 0.0 "1970-01-01 00:00:22.628208984" "1970-01-01 00:00:22.628208984" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
192.168.43.176 48057 91743.53002929688 0.0 125 1 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.176@48057 91743.53002929688 0.0 "1970-01-01 00:01:31.743530029" "1970-01-01 00:01:31.743530029" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 125.00B 0B
192.168.43.176 38337 103213.19189453125 0.0 125 1 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.176@38337 103213.19189453125 0.0 "1970-01-01 00:01:43.213191895" "1970-01-01 00:01:43.213191895" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 125.00B 0B
192.168.43.176 46530 163220.44702148438 0.0 125 1 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.176@46530 163220.44702148438 0.0 "1970-01-01 00:02:43.220447021" "1970-01-01 00:02:43.220447021" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 125.00B 0B
192.168.43.106 7370 402.439697265625 0.0 47 1 19 192.168.43.1 53 443.888916015625 0.0 63 1 19 - - 192.168.43.1@53_192.168.43.106@7370 402.439697265625 443.888916015625 "1970-01-01 00:00:00.402439697" "1970-01-01 00:00:00.402439697" "1970-01-01 00:00:00.443888916" "1970-01-01 00:00:00.443888916"  DNS 47.00B 63.00B
192.168.43.106 5189 402.549072265625 0.0 47 1 0 192.168.43.1 53 460.145751953125 0.0 104 1 0 - - 192.168.43.1@53_192.168.43.106@5189 402.549072265625 460.145751953125 "1970-01-01 00:00:00.402549072" "1970-01-01 00:00:00.402549072" "1970-01-01 00:00:00.460145752" "1970-01-01 00:00:00.460145752"  UNKNOWN 47.00B 104.00B
192.168.43.106 9338 439.658935546875 0.0 37 1 19 192.168.43.1 53 474.147705078125 0.0 53 1 19 - - 192.168.43.1@53_192.168.43.106@9338 439.658935546875 474.147705078125 "1970-01-01 00:00:00.439658936" "1970-01-01 00:00:00.439658936" "1970-01-01 00:00:00.474147705" "1970-01-01 00:00:00.474147705"  DNS 37.00B 53.00B
192.168.43.106 41118 439.7900390625 0.0 37 1 0 192.168.43.1 53 485.03173828125 0.0 87 1 0 - - 192.168.43.1@53_192.168.43.106@41118 439.7900390625 485.03173828125 "1970-01-01 00:00:00.439790039" "1970-01-01 00:00:00.439790039" "1970-01-01 00:00:00.485031738" "1970-01-01 00:00:00.485031738"  UNKNOWN 37.00B 87.00B
