c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.176 5353 1429.961669921875 0.0 61 1 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.43.176@5353 1429.961669921875 0.0 "1970-01-01 00:00:01.429961670" "1970-01-01 00:00:01.429961670" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 61.00B 0B
192.168.43.106 53523 21443.253662109375 0.0 44 1 19 192.168.43.1 53 0.0 0.0 0 0 0 - - 192.168.43.1@53_192.168.43.106@53523 21443.253662109375 0.0 "1970-01-01 00:00:21.443253662" "1970-01-01 00:00:21.443253662" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 44.00B 0B
fe80::2d72:f8a:a527:731 5353 56807.4716796875 0.0 45 1 0 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::2d72:f8a:a527:731@5353 56807.4716796875 0.0 "1970-01-01 00:00:56.807471680" "1970-01-01 00:00:56.807471680" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 45.00B 0B
192.168.43.106 8498 400.927001953125 0.0 47 1 19 192.168.43.1 53 511.6669921875 0.0 63 1 19 - - 192.168.43.1@53_192.168.43.106@8498 400.927001953125 511.6669921875 "1970-01-01 00:00:00.400927002" "1970-01-01 00:00:00.400927002" "1970-01-01 00:00:00.511666992" "1970-01-01 00:00:00.511666992"  DNS 47.00B 63.00B
192.168.43.106 27586 401.07568359375 0.0 47 1 0 192.168.43.1 53 511.667724609375 0.0 104 1 0 - - 192.168.43.1@53_192.168.43.106@27586 401.07568359375 511.667724609375 "1970-01-01 00:00:00.401075684" "1970-01-01 00:00:00.401075684" "1970-01-01 00:00:00.511667725" "1970-01-01 00:00:00.511667725"  UNKNOWN 47.00B 104.00B
192.168.43.106 41170 433.98095703125 0.0 37 1 19 192.168.43.1 53 511.6689453125 0.0 53 1 19 - - 192.168.43.1@53_192.168.43.106@41170 433.98095703125 511.6689453125 "1970-01-01 00:00:00.433980957" "1970-01-01 00:00:00.433980957" "1970-01-01 00:00:00.511668945" "1970-01-01 00:00:00.511668945"  DNS 37.00B 53.00B
192.168.43.106 58572 434.123046875 0.0 37 1 0 192.168.43.1 53 511.669677734375 0.0 87 1 0 - - 192.168.43.1@53_192.168.43.106@58572 434.123046875 511.669677734375 "1970-01-01 00:00:00.434123047" "1970-01-01 00:00:00.434123047" "1970-01-01 00:00:00.511669678" "1970-01-01 00:00:00.511669678"  UNKNOWN 37.00B 87.00B
192.168.43.106 52267 439.56103515625 3.002583 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.106@52267 442.563720703125 0.0 "1970-01-01 00:00:00.439561035" "1970-01-01 00:00:00.442563721" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.43.106 34484 456.718017578125 0.0 32 1 19 192.168.43.1 53 519.093017578125 0.0 48 1 19 - - 192.168.43.1@53_192.168.43.106@34484 456.718017578125 519.093017578125 "1970-01-01 00:00:00.456718018" "1970-01-01 00:00:00.456718018" "1970-01-01 00:00:00.519093018" "1970-01-01 00:00:00.519093018"  DNS 32.00B 48.00B
192.168.43.106 59533 456.79296875 0.0 32 1 0 192.168.43.1 53 611.675048828125 0.0 57 1 0 - - 192.168.43.1@53_192.168.43.106@59533 456.79296875 611.675048828125 "1970-01-01 00:00:00.456792969" "1970-01-01 00:00:00.456792969" "1970-01-01 00:00:00.611675049" "1970-01-01 00:00:00.611675049"  UNKNOWN 32.00B 57.00B
192.168.43.106 58136 513.222900390625 0.370321 6174 15 27 142.250.27.84 443 611.678955078125 0.34831 10944 13 27 accounts.google.com accounts.google.com 142.250.27.84@443_192.168.43.106@58136 513.59326171875 612.02734375 "1970-01-01 00:00:00.513222900" "1970-01-01 00:00:00.513593262" "1970-01-01 00:00:00.611678955" "1970-01-01 00:00:00.612027344" accounts.google.com UDP_QUIC 6.03KB 10.69KB
192.168.43.106 50772 533.195068359375 0.62336 8121 61 27 142.250.180.132 443 611.676025390625 0.54468 106575 100 27 www.google.com www.google.com 142.250.180.132@443_192.168.43.106@50772 533.818359375 612.220703125 "1970-01-01 00:00:00.533195068" "1970-01-01 00:00:00.533818359" "1970-01-01 00:00:00.611676025" "1970-01-01 00:00:00.612220703" www.google.com UDP_QUIC 7.93KB 104.08KB
192.168.43.106 64511 2222.078857421875 0.0 33 1 19 192.168.43.1 53 2387.717041015625 0.0 49 1 19 - - 192.168.43.1@53_192.168.43.106@64511 2222.078857421875 2387.717041015625 "1970-01-01 00:00:02.222078857" "1970-01-01 00:00:02.222078857" "1970-01-01 00:00:02.387717041" "1970-01-01 00:00:02.387717041"  DNS 33.00B 49.00B
192.168.43.106 15295 2222.153076171875 0.0 33 1 0 192.168.43.1 53 2387.718017578125 0.0 83 1 0 - - 192.168.43.1@53_192.168.43.106@15295 2222.153076171875 2387.718017578125 "1970-01-01 00:00:02.222153076" "1970-01-01 00:00:02.222153076" "1970-01-01 00:00:02.387718018" "1970-01-01 00:00:02.387718018"  UNKNOWN 33.00B 83.00B
192.168.43.106 24102 2299.0810546875 0.0 39 1 19 192.168.43.1 53 2387.718994140625 0.0 55 1 19 - - 192.168.43.1@53_192.168.43.106@24102 2299.0810546875 2387.718994140625 "1970-01-01 00:00:02.299081055" "1970-01-01 00:00:02.299081055" "1970-01-01 00:00:02.387718994" "1970-01-01 00:00:02.387718994"  DNS 39.00B 55.00B
192.168.43.106 23970 2299.180908203125 0.0 39 1 0 192.168.43.1 53 2387.7197265625 0.0 96 1 0 - - 192.168.43.1@53_192.168.43.106@23970 2299.180908203125 2387.7197265625 "1970-01-01 00:00:02.299180908" "1970-01-01 00:00:02.299180908" "1970-01-01 00:00:02.387719727" "1970-01-01 00:00:02.387719727"  UNKNOWN 39.00B 96.00B
