c_ip c_pt c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 52772 9 1 1798 3 0 0 0 1 1 142.250.185.100 443 8 0 6309 3 0 0 0 1 0 577.84130859375 2548.126953125 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@52772 "1970-01-01 00:00:00.577841309" "1970-01-01 00:00:02.548126953" www.google.com HTTP/1.x-HTTP/2_null 1.76KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 41588 10 0 1789 3 0 0 0 1 1 142.250.186.110 443 10 0 8249 4 0 0 0 1 1 2250.061279296875 2548.1533203125 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@41588 "1970-01-01 00:00:02.250061279" "1970-01-01 00:00:02.548153320" play.google.com HTTP/1.x-HTTP/2_null 1.75KB 8.06KB "0.05 kbits" "0.22 kbits"
192.168.84.55 45626 14 0 2349 7 0 0 0 1 1 172.217.16.195 443 17 0 7291 7 0 0 0 1 1 459.02294921875 2551.3662109375 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@45626 "1970-01-01 00:00:00.459022949" "1970-01-01 00:00:02.551366211" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.29KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 52592 10 0 1899 3 0 0 0 1 1 74.125.143.84 443 9 0 6356 3 0 0 0 1 1 702.06298828125 2554.626220703125 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@52592 "1970-01-01 00:00:00.702062988" "1970-01-01 00:00:02.554626221" accounts.google.com HTTP/1.x-HTTP/2_null 1.85KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 50076 15 1 4524 7 0 0 0 1 1 18.193.36.184 443 15 0 5819 6 0 0 0 1 0 12701.35693359375 30275.79296875 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@50076 "1970-01-01 00:00:12.701356934" "1970-01-01 00:00:30.275792969" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.68KB "0.00 kbits" "0.00 kbits"
192.168.84.55 58690 13 1 4547 7 0 0 0 1 1 18.193.36.184 443 12 0 421 4 0 0 0 1 0 15667.331298828125 30279.8642578125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@58690 "1970-01-01 00:00:15.667331299" "1970-01-01 00:00:30.279864258" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.44KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 58682 12 1 2776 6 0 0 0 1 1 18.193.36.184 443 12 0 421 4 0 0 0 1 0 13767.51416015625 30289.269287109375 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 18.193.36.184@443_192.168.84.55@58682 "1970-01-01 00:00:13.767514159" "1970-01-01 00:00:30.289269287" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.71KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 33230 9 0 1894 3 0 0 0 1 1 142.250.185.100 443 8 0 5350 2 0 0 0 1 1 20255.4189453125 30542.999267578125 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@33230 "1970-01-01 00:00:20.255418945" "1970-01-01 00:00:30.542999268" www.google.com HTTP/1.x-HTTP/2_null 1.85KB 5.22KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55872 10 0 3068 4 0 0 0 1 1 91.81.128.189 443 9 0 547 2 0 0 0 1 1 32964.6953125 35385.852294921875 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@55872 "1970-01-01 00:00:32.964695312" "1970-01-01 00:00:35.385852295" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 3.00KB 547.00B "0.01 kbits" "0.00 kbits"
192.168.84.55 55866 13 1 4736 6 0 0 0 1 1 91.81.128.189 443 13 0 6970 6 0 0 0 1 0 32963.14697265625 37076.854248046875 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@55866 "1970-01-01 00:00:32.963146973" "1970-01-01 00:00:37.076854248" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 4.62KB 6.81KB "0.01 kbits" "0.01 kbits"
192.168.84.55 58752 10 0 1789 3 0 0 0 1 1 162.247.241.14 443 9 0 4665 3 0 0 0 1 1 30249.3662109375 45772.43212890625 8192 bam.nr-data.net - 160 0 bam.nr-data.net - 162.247.241.14@443_192.168.84.55@58752 "1970-01-01 00:00:30.249366211" "1970-01-01 00:00:45.772432129" data.net HTTP/1.x-HTTP/2_null 1.75KB 4.56KB "0.00 kbits" "0.00 kbits"
192.168.84.55 55280 20 0 9396 13 0 0 0 1 1 52.223.29.147 443 23 0 6663 8 0 0 0 1 1 38929.566162109375 58971.150146484375 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 52.223.29.147@443_192.168.84.55@55280 "1970-01-01 00:00:38.929566162" "1970-01-01 00:00:58.971150146" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 9.18KB 6.51KB "0.00 kbits" "0.00 kbits"
192.168.84.55 42416 11 0 1805 3 0 0 0 1 1 142.250.185.195 443 10 0 6724 3 0 0 0 1 1 2597.97216796875 63032.6162109375 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@42416 "1970-01-01 00:00:02.597972168" "1970-01-01 00:01:03.032616211" update.googleapis.com HTTP/1.x-HTTP/2_null 1.76KB 6.57KB "0.00 kbits" "0.00 kbits"
192.168.84.55 48050 12 0 1819 3 0 0 0 1 1 142.250.185.170 443 11 0 6766 4 0 0 0 1 1 10612.990234375 71018.45629882812 8192 optimizationguide-pa.googleapis.com - 160 0 optimizationguide-pa.googleapis.com - 142.250.185.170@443_192.168.84.55@48050 "1970-01-01 00:00:10.612990234" "1970-01-01 00:01:11.018456299" pa.googleapis.com HTTP/1.x-HTTP/2_null 1.78KB 6.61KB "0.00 kbits" "0.00 kbits"
192.168.84.55 49616 11 0 1869 3 0 0 0 1 1 108.157.188.6 443 11 0 6198 4 0 0 0 1 1 12727.17724609375 73002.84619140625 8192 resource-strings.acc.indazn.com - 160 0 resource-strings.acc.indazn.com - 108.157.188.6@443_192.168.84.55@49616 "1970-01-01 00:00:12.727177246" "1970-01-01 00:01:13.002846191" acc.indazn.com HTTP/1.x-HTTP/2_null 1.83KB 6.05KB "0.00 kbits" "0.00 kbits"
