c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 25205 396.0771484375 0.0 47 1 19 192.168.84.198 53 458.38232421875 0.0 63 1 19 - - 192.168.84.198@53_192.168.84.55@25205 396.0771484375 458.38232421875 "1970-01-01 00:00:00.396077148" "1970-01-01 00:00:00.396077148" "1970-01-01 00:00:00.458382324" "1970-01-01 00:00:00.458382324"  DNS 47.00B 63.00B
192.168.84.55 56492 396.144287109375 0.0 47 1 0 192.168.84.198 53 458.38330078125 0.0 104 1 0 - - 192.168.84.198@53_192.168.84.55@56492 396.144287109375 458.38330078125 "1970-01-01 00:00:00.396144287" "1970-01-01 00:00:00.396144287" "1970-01-01 00:00:00.458383301" "1970-01-01 00:00:00.458383301"  UNKNOWN 47.00B 104.00B
192.168.84.55 25378 420.602294921875 0.0 37 1 19 192.168.84.198 53 458.38427734375 0.0 53 1 19 - - 192.168.84.198@53_192.168.84.55@25378 420.602294921875 458.38427734375 "1970-01-01 00:00:00.420602295" "1970-01-01 00:00:00.420602295" "1970-01-01 00:00:00.458384277" "1970-01-01 00:00:00.458384277"  DNS 37.00B 53.00B
192.168.84.55 9039 420.697265625 0.0 37 1 0 192.168.84.198 53 469.4501953125 0.0 87 1 0 - - 192.168.84.198@53_192.168.84.55@9039 420.697265625 469.4501953125 "1970-01-01 00:00:00.420697266" "1970-01-01 00:00:00.420697266" "1970-01-01 00:00:00.469450195" "1970-01-01 00:00:00.469450195"  UNKNOWN 37.00B 87.00B
192.168.84.55 51845 425.66015625 3.002076 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.84.55@51845 428.662353515625 0.0 "1970-01-01 00:00:00.425660156" "1970-01-01 00:00:00.428662354" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.84.55 57733 453.440185546875 0.0 32 1 19 192.168.84.198 53 458.38623046875 0.0 48 1 19 - - 192.168.84.198@53_192.168.84.55@57733 453.440185546875 458.38623046875 "1970-01-01 00:00:00.453440186" "1970-01-01 00:00:00.453440186" "1970-01-01 00:00:00.458386230" "1970-01-01 00:00:00.458386230"  DNS 32.00B 48.00B
192.168.84.55 19323 453.532958984375 0.0 32 1 0 192.168.84.198 53 582.7021484375 0.0 57 1 0 - - 192.168.84.198@53_192.168.84.55@19323 453.532958984375 582.7021484375 "1970-01-01 00:00:00.453532959" "1970-01-01 00:00:00.453532959" "1970-01-01 00:00:00.582702148" "1970-01-01 00:00:00.582702148"  UNKNOWN 32.00B 57.00B
192.168.84.55 53651 465.165283203125 0.484514 6597 53 27 142.250.185.100 443 582.705322265625 0.411468 94306 85 27 www.google.com www.google.com 142.250.185.100@443_192.168.84.55@53651 465.64990234375 583.11669921875 "1970-01-01 00:00:00.465165283" "1970-01-01 00:00:00.465649902" "1970-01-01 00:00:00.582705322" "1970-01-01 00:00:00.583116699" www.google.com UDP_QUIC 6.44KB 92.10KB
192.168.84.55 50326 467.906982421875 0.442429 4882 15 27 74.125.143.84 443 583.190185546875 0.407273 10916 13 27 accounts.google.com - 74.125.143.84@443_192.168.84.55@50326 468.349365234375 583.597412109375 "1970-01-01 00:00:00.467906982" "1970-01-01 00:00:00.468349365" "1970-01-01 00:00:00.583190186" "1970-01-01 00:00:00.583597412" accounts.google.com UDP_QUIC 4.77KB 10.66KB
192.168.84.55 2867 2016.5693359375 0.0 33 1 19 192.168.84.198 53 2138.608154296875 0.0 49 1 19 - - 192.168.84.198@53_192.168.84.55@2867 2016.5693359375 2138.608154296875 "1970-01-01 00:00:02.016569336" "1970-01-01 00:00:02.016569336" "1970-01-01 00:00:02.138608154" "1970-01-01 00:00:02.138608154"  DNS 33.00B 49.00B
192.168.84.55 39919 2016.6689453125 0.0 33 1 0 192.168.84.198 53 2138.609130859375 0.0 83 1 0 - - 192.168.84.198@53_192.168.84.55@39919 2016.6689453125 2138.609130859375 "1970-01-01 00:00:02.016668945" "1970-01-01 00:00:02.016668945" "1970-01-01 00:00:02.138609131" "1970-01-01 00:00:02.138609131"  UNKNOWN 33.00B 83.00B
192.168.84.55 59181 2139.55615234375 0.31742 5917 13 27 142.250.186.110 443 2258.54736328125 0.252053 9517 13 27 play.google.com - 142.250.186.110@443_192.168.84.55@59181 2139.87353515625 2258.79931640625 "1970-01-01 00:00:02.139556152" "1970-01-01 00:00:02.139873535" "1970-01-01 00:00:02.258547363" "1970-01-01 00:00:02.258799316" play.google.com UDP_QUIC 5.78KB 9.29KB
192.168.84.55 5353 2446.188232421875 3.001171 120 3 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.84.55@5353 2449.189453125 0.0 "1970-01-01 00:00:02.446188232" "1970-01-01 00:00:02.449189453" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 120.00B 0B
192.168.84.55 28344 2447.698974609375 0.0 39 1 19 192.168.84.198 53 2486.371337890625 0.0 55 1 19 - - 192.168.84.198@53_192.168.84.55@28344 2447.698974609375 2486.371337890625 "1970-01-01 00:00:02.447698975" "1970-01-01 00:00:02.447698975" "1970-01-01 00:00:02.486371338" "1970-01-01 00:00:02.486371338"  DNS 39.00B 55.00B
192.168.84.55 27592 2447.772216796875 0.0 39 1 0 192.168.84.198 53 2483.122314453125 0.0 96 1 0 - - 192.168.84.198@53_192.168.84.55@27592 2447.772216796875 2483.122314453125 "1970-01-01 00:00:02.447772217" "1970-01-01 00:00:02.447772217" "1970-01-01 00:00:02.483122314" "1970-01-01 00:00:02.483122314"  UNKNOWN 39.00B 96.00B
192.168.84.55 42156 2487.232177734375 0.290619 7112 17 27 142.250.185.195 443 2557.891357421875 0.27184 9934 13 27 update.googleapis.com - 142.250.185.195@443_192.168.84.55@42156 2487.522705078125 2558.1630859375 "1970-01-01 00:00:02.487232178" "1970-01-01 00:00:02.487522705" "1970-01-01 00:00:02.557891357" "1970-01-01 00:00:02.558163086" update.googleapis.com UDP_QUIC 6.95KB 9.70KB
192.168.84.55 52482 10195.450927734375 0.0 53 1 19 192.168.84.198 53 10330.791259765625 0.0 309 1 19 - - 192.168.84.198@53_192.168.84.55@52482 10195.450927734375 10330.791259765625 "1970-01-01 00:00:10.195450928" "1970-01-01 00:00:10.195450928" "1970-01-01 00:00:10.330791260" "1970-01-01 00:00:10.330791260"  DNS 53.00B 309.00B
192.168.84.55 14095 10195.564208984375 0.0 53 1 0 192.168.84.198 53 10330.79296875 0.0 110 1 0 - - 192.168.84.198@53_192.168.84.55@14095 10195.564208984375 10330.79296875 "1970-01-01 00:00:10.195564209" "1970-01-01 00:00:10.195564209" "1970-01-01 00:00:10.330792969" "1970-01-01 00:00:10.330792969"  UNKNOWN 53.00B 110.00B
192.168.84.55 46209 10332.13623046875 0.614142 5871 16 27 142.250.185.170 443 10535.604248046875 0.530109 11939 14 27 optimizationguide-pa.googleapis.com - 142.250.185.170@443_192.168.84.55@46209 10332.75048828125 10536.13427734375 "1970-01-01 00:00:10.332136230" "1970-01-01 00:00:10.332750488" "1970-01-01 00:00:10.535604248" "1970-01-01 00:00:10.536134277" pa.googleapis.com UDP_QUIC 5.73KB 11.66KB
