c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits
192.168.84.55 57550 6 1 4 1 1725 2 0 0 0 1 1 142.250.186.110 443 6 0 6 3 4164 2 0 0 0 1 0 2394.037109375 2551.0 8192 play.google.com - 160 0 play.google.com - 142.250.186.110@443_192.168.84.55@57550 "1970-01-01 00:00:02.394037109" "1970-01-01 00:00:02.551000000" play.google.com HTTP/1.x-HTTP/2_null 1.68KB 4.07KB "0.09 kbits" "0.21 kbits"
192.168.84.55 40664 14 0 13 5 2349 7 0 0 0 1 1 172.217.16.195 443 16 0 16 7 7294 7 0 0 0 1 1 459.171142578125 2554.93212890625 8192 clientservices.googleapis.com - 160 0 clientservices.googleapis.com - 172.217.16.195@443_192.168.84.55@40664 "1970-01-01 00:00:00.459171143" "1970-01-01 00:00:02.554932129" clientservices.googleapis.com HTTP/1.x-HTTP/2_null 2.29KB 7.12KB "0.01 kbits" "0.03 kbits"
192.168.84.55 47450 10 1 8 3 1862 4 1 400 0 1 1 142.250.185.100 443 9 0 9 5 6307 3 0 0 0 1 0 726.49609375 2558.961181640625 8192 www.google.com - 160 0 www.google.com - 142.250.185.100@443_192.168.84.55@47450 "1970-01-01 00:00:00.726496094" "1970-01-01 00:00:02.558961182" www.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.16KB "0.01 kbits" "0.03 kbits"
192.168.84.55 45522 10 0 9 5 1867 3 0 0 0 1 1 74.125.143.84 443 9 0 9 4 6356 3 0 0 0 1 1 580.09716796875 2562.84716796875 8192 accounts.google.com - 160 0 accounts.google.com - 74.125.143.84@443_192.168.84.55@45522 "1970-01-01 00:00:00.580097168" "1970-01-01 00:00:02.562847168" accounts.google.com HTTP/1.x-HTTP/2_null 1.82KB 6.21KB "0.01 kbits" "0.03 kbits"
192.168.84.55 57562 2 1 0 0 0 0 0 0 0 1 0 142.250.186.110 443 1 0 1 0 0 0 0 0 0 1 0 2497.037841796875 2570.905029296875 0 - - 0 0 play.google.com - 142.250.186.110@443_192.168.84.55@57562 "1970-01-01 00:00:02.497037842" "1970-01-01 00:00:02.570905029" play.google.com UNKNOWN 0B 0B "0.00 kbits" "0.00 kbits"
192.168.84.55 39990 13 1 11 3 4515 7 0 0 0 1 1 3.126.190.144 443 13 0 13 8 421 4 0 0 0 1 0 14869.110107421875 30389.18798828125 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.190.144@443_192.168.84.55@39990 "1970-01-01 00:00:14.869110107" "1970-01-01 00:00:30.389187988" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.41KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 39986 15 1 13 5 4524 7 0 0 0 1 1 3.126.190.144 443 16 0 16 8 5850 7 0 0 0 1 0 12738.84814453125 30389.197998046875 8192 pubby.indazn.com pubby.indazn.com 32 32 pubby.indazn.com - 3.126.190.144@443_192.168.84.55@39986 "1970-01-01 00:00:12.738848145" "1970-01-01 00:00:30.389197998" pubby.indazn.com HTTP/1.x_HTTP/1.x 4.42KB 5.71KB "0.00 kbits" "0.00 kbits"
192.168.84.55 39988 14 1 12 3 2750 8 0 0 0 1 1 3.126.190.144 443 13 0 13 8 421 4 0 0 0 1 0 13848.918212890625 30389.211181640625 8192 pubby.indazn.com - 32 32 pubby.indazn.com - 3.126.190.144@443_192.168.84.55@39988 "1970-01-01 00:00:13.848918213" "1970-01-01 00:00:30.389211182" pubby.indazn.com HTTP/1.x_HTTP/1.x 2.69KB 421.00B "0.00 kbits" "0.00 kbits"
192.168.84.55 55542 12 1 10 5 2483 4 0 0 0 1 1 23.51.48.218 443 10 0 10 4 4166 4 2 1388 0 2 0 33579.47314453125 34270.9521484375 8192 time.akamai.com time.akamai.com 160 32 time.akamai.com - 23.51.48.218@443_192.168.84.55@55542 "1970-01-01 00:00:33.579473145" "1970-01-01 00:00:34.270952148" time.akamai.com HTTP/1.x-HTTP/2_HTTP/1.x 2.42KB 4.07KB "0.03 kbits" "0.05 kbits"
192.168.84.55 55850 33 1 31 25 3036 5 1 705 0 1 1 91.81.128.189 443 56 0 56 4 150019 51 0 0 0 1 0 33416.301025390625 34466.851806640625 8192 dce-de-livedazn.daznedge.net - 160 0 dce-de-livedazn.daznedge.net - 91.81.128.189@443_192.168.84.55@55850 "1970-01-01 00:00:33.416301025" "1970-01-01 00:00:34.466851807" de-livedazn.daznedge.net HTTP/1.x-HTTP/2_null 2.96KB 146.50KB "0.02 kbits" "1.14 kbits"
192.168.84.55 35038 20 0 19 6 9486 13 0 0 0 1 0 35.71.191.239 443 26 1 25 13 6660 11 0 0 0 1 0 37823.125 57118.9150390625 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.84.55@35038 "1970-01-01 00:00:37.823125000" "1970-01-01 00:00:57.118915039" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 9.26KB 6.50KB "0.00 kbits" "0.00 kbits"
192.168.84.55 42264 11 0 10 6 1805 3 0 0 0 1 1 142.250.185.195 443 10 0 10 5 6724 3 0 0 0 1 1 2622.606201171875 63479.197021484375 8192 update.googleapis.com - 160 0 update.googleapis.com - 142.250.185.195@443_192.168.84.55@42264 "1970-01-01 00:00:02.622606201" "1970-01-01 00:01:03.479197021" update.googleapis.com HTTP/1.x-HTTP/2_null 1.76KB 6.57KB "0.00 kbits" "0.00 kbits"
