c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
fe80::245:e2ff:feb8:eb6d 5353 153686.6318359375 0.0 45 1 0 ff02::fb 5353 0.0 0.0 0 0 0 - - ff02::fb@5353_fe80::245:e2ff:feb8:eb6d@5353 153686.6318359375 0.0 "1970-01-01 00:02:33.686631836" "1970-01-01 00:02:33.686631836" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 45.00B 0B
192.168.84.55 45827 396.059814453125 0.0 47 1 19 192.168.84.198 53 458.77099609375 0.0 63 1 19 - - 192.168.84.198@53_192.168.84.55@45827 396.059814453125 458.77099609375 "1970-01-01 00:00:00.396059814" "1970-01-01 00:00:00.396059814" "1970-01-01 00:00:00.458770996" "1970-01-01 00:00:00.458770996"  DNS 47.00B 63.00B
192.168.84.55 65103 396.129150390625 0.0 47 1 0 192.168.84.198 53 458.77197265625 0.0 104 1 0 - - 192.168.84.198@53_192.168.84.55@65103 396.129150390625 458.77197265625 "1970-01-01 00:00:00.396129149" "1970-01-01 00:00:00.396129149" "1970-01-01 00:00:00.458771973" "1970-01-01 00:00:00.458771973"  UNKNOWN 47.00B 104.00B
192.168.84.55 41680 424.717041015625 0.0 37 1 19 192.168.84.198 53 429.078125 0.0 53 1 19 - - 192.168.84.198@53_192.168.84.55@41680 424.717041015625 429.078125 "1970-01-01 00:00:00.424717041" "1970-01-01 00:00:00.424717041" "1970-01-01 00:00:00.429078125" "1970-01-01 00:00:00.429078125"  DNS 37.00B 53.00B
192.168.84.55 38283 424.7919921875 0.0 37 1 0 192.168.84.198 53 459.005126953125 0.0 87 1 0 - - 192.168.84.198@53_192.168.84.55@38283 424.7919921875 459.005126953125 "1970-01-01 00:00:00.424791992" "1970-01-01 00:00:00.424791992" "1970-01-01 00:00:00.459005127" "1970-01-01 00:00:00.459005127"  UNKNOWN 37.00B 87.00B
192.168.84.55 39695 429.4921875 3.002428 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.84.55@39695 432.49462890625 0.0 "1970-01-01 00:00:00.429492188" "1970-01-01 00:00:00.432494629" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.84.55 53794 435.568115234375 0.399335 4776 12 27 74.125.143.84 443 584.837158203125 0.398884 10719 13 27 accounts.google.com - 74.125.143.84@443_192.168.84.55@53794 435.967529296875 585.236083984375 "1970-01-01 00:00:00.435568115" "1970-01-01 00:00:00.435967529" "1970-01-01 00:00:00.584837158" "1970-01-01 00:00:00.585236084" accounts.google.com UDP_QUIC 4.66KB 10.47KB
192.168.84.55 6805 454.38916015625 0.0 32 1 19 192.168.84.198 53 584.843994140625 0.0 48 1 19 - - 192.168.84.198@53_192.168.84.55@6805 454.38916015625 584.843994140625 "1970-01-01 00:00:00.454389160" "1970-01-01 00:00:00.454389160" "1970-01-01 00:00:00.584843994" "1970-01-01 00:00:00.584843994"  DNS 32.00B 48.00B
192.168.84.55 20554 454.463134765625 0.0 32 1 0 192.168.84.198 53 584.843017578125 0.0 57 1 0 - - 192.168.84.198@53_192.168.84.55@20554 454.463134765625 584.843017578125 "1970-01-01 00:00:00.454463135" "1970-01-01 00:00:00.454463135" "1970-01-01 00:00:00.584843018" "1970-01-01 00:00:00.584843018"  UNKNOWN 32.00B 57.00B
192.168.84.55 56780 586.752197265625 0.439513 5779 33 27 142.250.185.100 443 703.727783203125 0.511904 52723 51 27 www.google.com - 142.250.185.100@443_192.168.84.55@56780 587.191650390625 704.23974609375 "1970-01-01 00:00:00.586752197" "1970-01-01 00:00:00.587191650" "1970-01-01 00:00:00.703727783" "1970-01-01 00:00:00.704239746" www.google.com UDP_QUIC 5.64KB 51.49KB
192.168.84.55 60816 2066.755126953125 0.0 33 1 19 192.168.84.198 53 2239.593017578125 0.0 49 1 19 - - 192.168.84.198@53_192.168.84.55@60816 2066.755126953125 2239.593017578125 "1970-01-01 00:00:02.066755127" "1970-01-01 00:00:02.066755127" "1970-01-01 00:00:02.239593018" "1970-01-01 00:00:02.239593018"  DNS 33.00B 49.00B
192.168.84.55 27399 2066.858154296875 0.0 33 1 0 192.168.84.198 53 2239.593994140625 0.0 83 1 0 - - 192.168.84.198@53_192.168.84.55@27399 2066.858154296875 2239.593994140625 "1970-01-01 00:00:02.066858154" "1970-01-01 00:00:02.066858154" "1970-01-01 00:00:02.239593994" "1970-01-01 00:00:02.239593994"  UNKNOWN 33.00B 83.00B
192.168.84.55 37276 2240.5791015625 0.414495 6238 18 27 142.250.186.110 443 2399.002197265625 0.334514 10835 15 27 play.google.com - 142.250.186.110@443_192.168.84.55@37276 2240.99365234375 2399.336669921875 "1970-01-01 00:00:02.240579102" "1970-01-01 00:00:02.240993652" "1970-01-01 00:00:02.399002197" "1970-01-01 00:00:02.399336670" play.google.com UDP_QUIC 6.09KB 10.58KB
192.168.84.55 64300 2448.01904296875 0.0 39 1 19 192.168.84.198 53 2511.135986328125 0.0 55 1 19 - - 192.168.84.198@53_192.168.84.55@64300 2448.01904296875 2511.135986328125 "1970-01-01 00:00:02.448019043" "1970-01-01 00:00:02.448019043" "1970-01-01 00:00:02.511135986" "1970-01-01 00:00:02.511135986"  DNS 39.00B 55.00B
192.168.84.55 40053 2448.0830078125 0.0 39 1 0 192.168.84.198 53 2514.77197265625 0.0 96 1 0 - - 192.168.84.198@53_192.168.84.55@40053 2448.0830078125 2514.77197265625 "1970-01-01 00:00:02.448083008" "1970-01-01 00:00:02.448083008" "1970-01-01 00:00:02.514771973" "1970-01-01 00:00:02.514771973"  UNKNOWN 39.00B 96.00B
192.168.84.55 45892 2515.631103515625 0.389426 5989 19 27 142.250.185.195 443 2627.37109375 0.363461 11339 15 27 update.googleapis.com - 142.250.185.195@443_192.168.84.55@45892 2516.0205078125 2627.734619140625 "1970-01-01 00:00:02.515631104" "1970-01-01 00:00:02.516020508" "1970-01-01 00:00:02.627371094" "1970-01-01 00:00:02.627734619" update.googleapis.com UDP_QUIC 5.85KB 11.07KB
192.168.84.55 37155 10193.14599609375 0.0 53 1 19 192.168.84.198 53 10237.423095703125 0.0 309 1 19 - - 192.168.84.198@53_192.168.84.55@37155 10193.14599609375 10237.423095703125 "1970-01-01 00:00:10.193145996" "1970-01-01 00:00:10.193145996" "1970-01-01 00:00:10.237423096" "1970-01-01 00:00:10.237423096"  DNS 53.00B 309.00B
192.168.84.55 21913 10193.257080078125 0.0 53 1 0 192.168.84.198 53 10237.671142578125 0.0 110 1 0 - - 192.168.84.198@53_192.168.84.55@21913 10193.257080078125 10237.671142578125 "1970-01-01 00:00:10.193257079" "1970-01-01 00:00:10.193257079" "1970-01-01 00:00:10.237671143" "1970-01-01 00:00:10.237671143"  UNKNOWN 53.00B 110.00B
192.168.84.55 43135 10238.68115234375 0.603897 5869 16 27 142.250.181.234 443 10432.214111328125 0.582347 11893 14 27 optimizationguide-pa.googleapis.com - 142.250.181.234@443_192.168.84.55@43135 10239.28515625 10432.79638671875 "1970-01-01 00:00:10.238681152" "1970-01-01 00:00:10.239285156" "1970-01-01 00:00:10.432214111" "1970-01-01 00:00:10.432796387" pa.googleapis.com UDP_QUIC 5.73KB 11.61KB
192.168.84.55 15066 11025.351806640625 0.0 30 1 19 192.168.84.198 53 11032.913818359375 0.0 94 1 19 - - 192.168.84.198@53_192.168.84.55@15066 11025.351806640625 11032.913818359375 "1970-01-01 00:00:11.025351807" "1970-01-01 00:00:11.025351807" "1970-01-01 00:00:11.032913818" "1970-01-01 00:00:11.032913818"  DNS 30.00B 94.00B
192.168.84.55 21669 11025.48583984375 0.0 30 1 0 192.168.84.198 53 11079.333984375 0.0 112 1 0 - - 192.168.84.198@53_192.168.84.55@21669 11025.48583984375 11079.333984375 "1970-01-01 00:00:11.025485840" "1970-01-01 00:00:11.025485840" "1970-01-01 00:00:11.079333984" "1970-01-01 00:00:11.079333984"  UNKNOWN 30.00B 112.00B
192.168.84.55 62841 11032.5810546875 0.0 65 1 19 192.168.84.198 53 11079.3330078125 0.0 81 1 19 - - 192.168.84.198@53_192.168.84.55@62841 11032.5810546875 11079.3330078125 "1970-01-01 00:00:11.032581055" "1970-01-01 00:00:11.032581055" "1970-01-01 00:00:11.079333008" "1970-01-01 00:00:11.079333008"  DNS 65.00B 81.00B
192.168.84.55 59319 11032.64111328125 0.0 65 1 0 192.168.84.198 53 11075.360107421875 0.0 123 1 0 - - 192.168.84.198@53_192.168.84.55@59319 11032.64111328125 11075.360107421875 "1970-01-01 00:00:11.032641113" "1970-01-01 00:00:11.032641113" "1970-01-01 00:00:11.075360107" "1970-01-01 00:00:11.075360107"  UNKNOWN 65.00B 123.00B
192.168.84.55 23367 11559.829833984375 0.0 41 1 19 192.168.84.198 53 11613.2021484375 0.0 89 1 19 - - 192.168.84.198@53_192.168.84.55@23367 11559.829833984375 11613.2021484375 "1970-01-01 00:00:11.559829834" "1970-01-01 00:00:11.559829834" "1970-01-01 00:00:11.613202148" "1970-01-01 00:00:11.613202148"  DNS 41.00B 89.00B
192.168.84.55 9897 11559.9169921875 0.0 41 1 0 192.168.84.198 53 11613.203125 0.0 122 1 0 - - 192.168.84.198@53_192.168.84.55@9897 11559.9169921875 11613.203125 "1970-01-01 00:00:11.559916992" "1970-01-01 00:00:11.559916992" "1970-01-01 00:00:11.613203125" "1970-01-01 00:00:11.613203125"  UNKNOWN 41.00B 122.00B
192.168.84.55 48143 11960.11181640625 0.0 44 1 19 192.168.84.198 53 12028.481201171875 0.0 108 1 19 - - 192.168.84.198@53_192.168.84.55@48143 11960.11181640625 12028.481201171875 "1970-01-01 00:00:11.960111816" "1970-01-01 00:00:11.960111816" "1970-01-01 00:00:12.028481201" "1970-01-01 00:00:12.028481201"  DNS 44.00B 108.00B
192.168.84.55 14774 11960.17578125 0.0 44 1 0 192.168.84.198 53 11995.7470703125 0.0 125 1 0 - - 192.168.84.198@53_192.168.84.55@14774 11960.17578125 11995.7470703125 "1970-01-01 00:00:11.960175781" "1970-01-01 00:00:11.960175781" "1970-01-01 00:00:11.995747070" "1970-01-01 00:00:11.995747070"  UNKNOWN 44.00B 125.00B
192.168.84.55 15888 12107.826171875 0.0 51 1 19 192.168.84.198 53 12183.023193359375 0.0 162 1 19 - - 192.168.84.198@53_192.168.84.55@15888 12107.826171875 12183.023193359375 "1970-01-01 00:00:12.107826172" "1970-01-01 00:00:12.107826172" "1970-01-01 00:00:12.183023193" "1970-01-01 00:00:12.183023193"  DNS 51.00B 162.00B
