c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 53302 74.125.143.84 443 691.77734375 398.361 9 0 1899 3 0 0 0 1 0 8 0 6356 4 0 0 0 1 0 74.125.143.84@443_192.168.84.55@53302 1090.1383437499999 "1970-01-01 00:00:00.691777344" "1970-01-01 00:00:01.090138344" 1.85KB 6.21KB "0.04 kbits" "0.13 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 34446 142.250.185.100 443 571.290283203125 382.307 10 0 1798 4 1 336 0 1 0 7 0 5350 4 0 0 0 1 0 142.250.185.100@443_192.168.84.55@34446 953.597283203125 "1970-01-01 00:00:00.571290283" "1970-01-01 00:00:00.953597283" 1.76KB 5.22KB "0.04 kbits" "0.11 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 60908 172.217.16.195 443 476.279296875 464.494 14 0 2413 8 1 342 0 1 0 12 0 7292 7 1 1388 0 1 0 172.217.16.195@443_192.168.84.55@60908 940.773296875 "1970-01-01 00:00:00.476279297" "1970-01-01 00:00:00.940773297" 2.36KB 7.12KB "0.04 kbits" "0.13 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 59366 142.250.186.110 443 2331.92431640625 174.173 9 1 1853 3 0 0 0 1 1 7 0 8249 3 0 0 0 1 0 142.250.186.110@443_192.168.84.55@59366 2506.09731640625 "1970-01-01 00:00:02.331924316" "1970-01-01 00:00:02.506097316" 1.81KB 8.06KB "0.09 kbits" "0.38 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 60908 172.217.16.195 443 2484.772216796875 52.248 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@60908 2537.020216796875 "1970-01-01 00:00:02.484772217" "1970-01-01 00:00:02.537020217" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 34446 142.250.185.100 443 2484.414306640625 52.613 2 1 0 0 0 0 0 0 1 2 0 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@34446 2537.027306640625 "1970-01-01 00:00:02.484414307" "1970-01-01 00:00:02.537027307" 0B 958.00B "0.00 kbits" "0.15 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 53302 74.125.143.84 443 2484.34228515625 59.116 2 0 0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 1 74.125.143.84@443_192.168.84.55@53302 2543.45828515625 "1970-01-01 00:00:02.484342285" "1970-01-01 00:00:02.543458285" 0B 0B "0.00 kbits" "0.00 kbits" accounts.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 58394 108.139.243.81 443 11115.768310546875 415.213 41 0 3939 7 0 0 0 1 0 82 0 194565 75 0 0 0 1 0 108.139.243.81@443_192.168.84.55@58394 11530.981310546875 "1970-01-01 00:00:11.115768311" "1970-01-01 00:00:11.530981311" 3.85KB 190.00KB "0.08 kbits" "3.75 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 54238 108.157.188.19 443 12195.59619140625 654.954 15 0 4162 9 0 0 0 1 0 17 0 7001 7 0 0 0 1 0 108.157.188.19@443_192.168.84.55@54238 12850.55019140625 "1970-01-01 00:00:12.195596191" "1970-01-01 00:00:12.850550191" 4.06KB 6.84KB "0.05 kbits" "0.09 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57244 13.226.175.112 443 12686.743408203125 204.106 8 0 1855 3 0 0 0 1 0 8 0 6185 4 0 0 0 1 0 13.226.175.112@443_192.168.84.55@57244 12890.849408203125 "1970-01-01 00:00:12.686743408" "1970-01-01 00:00:12.890849408" 1.81KB 6.04KB "0.07 kbits" "0.24 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 36760 108.139.243.99 443 13249.775390625 986.914 52 0 8623 29 0 0 0 1 0 80 0 81480 58 0 0 0 1 0 108.139.243.99@443_192.168.84.55@36760 14236.689390625 "1970-01-01 00:00:13.249775391" "1970-01-01 00:00:14.236689391" 8.42KB 79.57KB "0.07 kbits" "0.66 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 57624 151.101.242.49 443 13255.04296875 805.634 22 0 4246 16 0 0 0 1 0 27 0 7343 10 0 0 0 1 0 151.101.242.49@443_192.168.84.55@57624 14060.67696875 "1970-01-01 00:00:13.255042969" "1970-01-01 00:00:14.060676969" 4.15KB 7.17KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 47360 108.156.2.104 443 13815.419189453125 344.298 18 0 5072 9 0 0 0 1 0 24 0 13002 15 0 0 0 1 0 108.156.2.104@443_192.168.84.55@47360 14159.717189453126 "1970-01-01 00:00:13.815419189" "1970-01-01 00:00:14.159717189" 4.95KB 12.70KB "0.12 kbits" "0.30 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 47134 3.75.98.239 443 13753.4990234375 352.639 15 0 4348 9 0 0 0 1 0 12 0 5087 5 0 0 0 1 0 3.75.98.239@443_192.168.84.55@47134 14106.1380234375 "1970-01-01 00:00:13.753499023" "1970-01-01 00:00:14.106138023" 4.25KB 4.97KB "0.10 kbits" "0.12 kbits" gateway.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 35192 162.247.241.14 443 12776.806396484375 791.75 52 0 58706 46 0 0 0 1 0 43 0 5738 4 0 0 0 1 0 162.247.241.14@443_192.168.84.55@35192 13568.556396484375 "1970-01-01 00:00:12.776806396" "1970-01-01 00:00:13.568556396" 57.33KB 5.60KB "0.59 kbits" "0.06 kbits" data.net HTTP/1.x-HTTP/2_null
192.168.84.55 58394 108.139.243.81 443 12227.14501953125 638.668 43 0 17199 32 0 0 0 0 0 66 0 17468 36 1 469 0 0 0 108.139.243.81@443_192.168.84.55@58394 12865.81301953125 "1970-01-01 00:00:12.227145020" "1970-01-01 00:00:12.865813020" 16.80KB 17.06KB "0.22 kbits" "0.22 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
