c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 56050 172.217.16.195 443 471.611572265625 268.535 13 0 12 5 2349 7 0 0 0 1 0 15 0 15 7 7292 7 0 0 0 1 0 172.217.16.195@443_192.168.84.55@56050 740.1465722656251 "1970-01-01 00:00:00.471611572" "1970-01-01 00:00:00.740146572" 2.29KB 7.12KB "0.07 kbits" "0.22 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 47956 142.250.185.100 443 552.749267578125 184.134 7 0 6 3 1894 3 0 0 0 1 0 6 0 6 3 5351 2 0 0 0 1 0 142.250.185.100@443_192.168.84.55@47956 736.883267578125 "1970-01-01 00:00:00.552749268" "1970-01-01 00:00:00.736883268" 1.85KB 5.23KB "0.08 kbits" "0.23 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 56050 172.217.16.195 443 2496.601318359375 82.17 2 0 2 1 0 0 0 0 0 0 1 2 0 2 1 0 0 0 0 0 0 1 172.217.16.195@443_192.168.84.55@56050 2578.771318359375 "1970-01-01 00:00:02.496601318" "1970-01-01 00:00:02.578771318" 0B 0B "0.00 kbits" "0.00 kbits" clientservices.googleapis.com HTTP/1.x-HTTP/2_null
192.168.84.55 47956 142.250.185.100 443 2497.75146484375 81.029 2 1 1 0 0 0 0 0 0 0 1 2 0 2 1 958 1 0 0 0 0 0 142.250.185.100@443_192.168.84.55@47956 2578.78046484375 "1970-01-01 00:00:02.497751465" "1970-01-01 00:00:02.578780465" 0B 958.00B "0.00 kbits" "0.09 kbits" www.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 37632 142.250.186.110 443 2084.544677734375 494.243 10 0 9 5 1821 3 0 0 0 1 1 9 0 9 4 8248 3 0 0 0 1 1 142.250.186.110@443_192.168.84.55@37632 2578.787677734375 "1970-01-01 00:00:02.084544678" "1970-01-01 00:00:02.578787678" 1.78KB 8.05KB "0.03 kbits" "0.13 kbits" play.google.com HTTP/1.x-HTTP/2_null
192.168.84.55 43026 108.139.243.13 443 11033.779296875 992.419 43 0 42 33 4193 9 0 0 0 1 0 73 0 73 6 194982 66 0 0 0 1 0 108.139.243.13@443_192.168.84.55@43026 12026.198296875 "1970-01-01 00:00:11.033779297" "1970-01-01 00:00:12.026198297" 4.09KB 190.41KB "0.03 kbits" "1.57 kbits" www.dazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37506 108.157.188.19 443 11914.802490234375 331.561 14 0 13 4 4226 9 0 0 0 1 0 16 0 16 9 6979 6 0 0 0 1 0 108.157.188.19@443_192.168.84.55@37506 12246.363490234375 "1970-01-01 00:00:11.914802490" "1970-01-01 00:00:12.246363490" 4.13KB 6.82KB "0.10 kbits" "0.17 kbits" ar.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 35978 13.226.175.42 443 12675.78564453125 974.326 14 0 13 6 2429 7 0 0 0 1 0 14 0 14 6 6619 7 0 0 0 1 0 13.226.175.42@443_192.168.84.55@35978 13650.111644531251 "1970-01-01 00:00:12.675785645" "1970-01-01 00:00:13.650111645" 2.37KB 6.46KB "0.02 kbits" "0.05 kbits" fe.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 37556 108.139.243.86 443 13091.9873046875 999.572 31 0 30 8 7548 22 0 0 0 1 0 25 0 25 13 14540 11 0 0 0 1 0 108.139.243.86@443_192.168.84.55@37556 14091.5593046875 "1970-01-01 00:00:13.091987305" "1970-01-01 00:00:14.091559305" 7.37KB 14.20KB "0.06 kbits" "0.12 kbits" discovery.indazn.com HTTP/1.x-HTTP/2_null
192.168.84.55 55068 151.101.242.49 443 13066.59765625 881.499 23 0 22 5 4310 17 0 0 0 1 0 28 0 28 16 7346 11 0 0 0 1 0 151.101.242.49@443_192.168.84.55@55068 13948.09665625 "1970-01-01 00:00:13.066597656" "1970-01-01 00:00:13.948096656" 4.21KB 7.17KB "0.04 kbits" "0.07 kbits" cdn.contentful.com HTTP/1.x-HTTP/2_HTTP/2
