c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.84.55 26126 393.365478515625 0.0 47 1 19 192.168.84.198 53 677.535400390625 0.0 63 1 19 - - 192.168.84.198@53_192.168.84.55@26126 393.365478515625 677.535400390625 "1970-01-01 00:00:00.393365479" "1970-01-01 00:00:00.393365479" "1970-01-01 00:00:00.677535400" "1970-01-01 00:00:00.677535400"  DNS 47.00B 63.00B
192.168.84.55 48095 393.42431640625 0.0 47 1 0 192.168.84.198 53 677.54052734375 0.0 104 1 0 - - 192.168.84.198@53_192.168.84.55@48095 393.42431640625 677.54052734375 "1970-01-01 00:00:00.393424316" "1970-01-01 00:00:00.393424316" "1970-01-01 00:00:00.677540527" "1970-01-01 00:00:00.677540527"  UNKNOWN 47.00B 104.00B
192.168.84.55 55327 418.316162109375 0.0 37 1 19 192.168.84.198 53 677.54150390625 0.0 53 1 19 - - 192.168.84.198@53_192.168.84.55@55327 418.316162109375 677.54150390625 "1970-01-01 00:00:00.418316162" "1970-01-01 00:00:00.418316162" "1970-01-01 00:00:00.677541504" "1970-01-01 00:00:00.677541504"  DNS 37.00B 53.00B
192.168.84.55 65078 418.408447265625 0.0 37 1 0 192.168.84.198 53 677.537353515625 0.0 87 1 0 - - 192.168.84.198@53_192.168.84.55@65078 418.408447265625 677.537353515625 "1970-01-01 00:00:00.418408447" "1970-01-01 00:00:00.418408447" "1970-01-01 00:00:00.677537354" "1970-01-01 00:00:00.677537354"  UNKNOWN 37.00B 87.00B
192.168.84.55 57710 422.532470703125 3.001843 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.84.55@57710 425.534423828125 0.0 "1970-01-01 00:00:00.422532471" "1970-01-01 00:00:00.425534424" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.84.55 46683 439.6455078125 0.0 32 1 19 192.168.84.198 53 444.015380859375 0.0 48 1 19 - - 192.168.84.198@53_192.168.84.55@46683 439.6455078125 444.015380859375 "1970-01-01 00:00:00.439645508" "1970-01-01 00:00:00.439645508" "1970-01-01 00:00:00.444015381" "1970-01-01 00:00:00.444015381"  DNS 32.00B 48.00B
192.168.84.55 55326 439.712158203125 0.0 32 1 0 192.168.84.198 53 677.538330078125 0.0 57 1 0 - - 192.168.84.198@53_192.168.84.55@55326 439.712158203125 677.538330078125 "1970-01-01 00:00:00.439712158" "1970-01-01 00:00:00.439712158" "1970-01-01 00:00:00.677538330" "1970-01-01 00:00:00.677538330"  UNKNOWN 32.00B 57.00B
192.168.84.55 46203 450.508544921875 0.583399 7566 51 27 142.250.185.100 443 677.54150390625 0.403935 96782 87 27 www.google.com - 142.250.185.100@443_192.168.84.55@46203 451.092041015625 677.945556640625 "1970-01-01 00:00:00.450508545" "1970-01-01 00:00:00.451092041" "1970-01-01 00:00:00.677541504" "1970-01-01 00:00:00.677945557" www.google.com UDP_QUIC 7.39KB 94.51KB
192.168.84.55 33739 679.0673828125 0.345694 5216 17 27 74.125.143.84 443 754.745361328125 0.351881 13011 17 27 accounts.google.com accounts.google.com 74.125.143.84@443_192.168.84.55@33739 679.4130859375 755.09716796875 "1970-01-01 00:00:00.679067383" "1970-01-01 00:00:00.679413086" "1970-01-01 00:00:00.754745361" "1970-01-01 00:00:00.755097168" accounts.google.com UDP_QUIC 5.09KB 12.71KB
192.168.84.55 64179 2077.676513671875 0.0 33 1 19 192.168.84.198 53 2134.639404296875 0.0 49 1 19 - - 192.168.84.198@53_192.168.84.55@64179 2077.676513671875 2134.639404296875 "1970-01-01 00:00:02.077676514" "1970-01-01 00:00:02.077676514" "1970-01-01 00:00:02.134639404" "1970-01-01 00:00:02.134639404"  DNS 33.00B 49.00B
192.168.84.55 65458 2077.7734375 0.0 33 1 0 192.168.84.198 53 2130.435546875 0.0 83 1 0 - - 192.168.84.198@53_192.168.84.55@65458 2077.7734375 2130.435546875 "1970-01-01 00:00:02.077773438" "1970-01-01 00:00:02.077773438" "1970-01-01 00:00:02.130435547" "1970-01-01 00:00:02.130435547"  UNKNOWN 33.00B 83.00B
