c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 44510 11648.672607421875 0.0 41 1 19 192.168.43.1 53 0.0 0.0 0 0 0 - - 192.168.43.1@53_192.168.43.106@44510 11648.672607421875 0.0 "1970-01-01 00:00:11.648672607" "1970-01-01 00:00:11.648672607" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  DNS_UNKNOWN 41.00B 0B
192.168.43.176 60194 99713.28466796875 0.0 125 1 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.176@60194 99713.28466796875 0.0 "1970-01-01 00:01:39.713284668" "1970-01-01 00:01:39.713284668" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 125.00B 0B
192.168.43.176 54348 135143.66479492188 0.0 125 1 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.176@54348 135143.66479492188 0.0 "1970-01-01 00:02:15.143664795" "1970-01-01 00:02:15.143664795" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 125.00B 0B
192.168.43.106 48164 396.938720703125 0.0 47 1 19 192.168.43.1 53 590.9814453125 0.0 63 1 19 - - 192.168.43.1@53_192.168.43.106@48164 396.938720703125 590.9814453125 "1970-01-01 00:00:00.396938721" "1970-01-01 00:00:00.396938721" "1970-01-01 00:00:00.590981445" "1970-01-01 00:00:00.590981445"  DNS 47.00B 63.00B
192.168.43.106 15565 429.097412109375 0.0 37 1 19 192.168.43.1 53 590.983642578125 0.0 53 1 19 - - 192.168.43.1@53_192.168.43.106@15565 429.097412109375 590.983642578125 "1970-01-01 00:00:00.429097412" "1970-01-01 00:00:00.429097412" "1970-01-01 00:00:00.590983643" "1970-01-01 00:00:00.590983643"  DNS 37.00B 53.00B
192.168.43.106 51877 429.19140625 0.0 37 1 0 192.168.43.1 53 590.984619140625 0.0 87 1 0 - - 192.168.43.1@53_192.168.43.106@51877 429.19140625 590.984619140625 "1970-01-01 00:00:00.429191406" "1970-01-01 00:00:00.429191406" "1970-01-01 00:00:00.590984619" "1970-01-01 00:00:00.590984619"  UNKNOWN 37.00B 87.00B
192.168.43.106 35995 437.357421875 3.001782 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.106@35995 440.359130859375 0.0 "1970-01-01 00:00:00.437357422" "1970-01-01 00:00:00.440359131" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.43.106 23033 452.181640625 0.0 32 1 19 192.168.43.1 53 455.559814453125 0.0 48 1 19 - - 192.168.43.1@53_192.168.43.106@23033 452.181640625 455.559814453125 "1970-01-01 00:00:00.452181641" "1970-01-01 00:00:00.452181641" "1970-01-01 00:00:00.455559814" "1970-01-01 00:00:00.455559814"  DNS 32.00B 48.00B
192.168.43.106 62273 452.24267578125 0.0 32 1 0 192.168.43.1 53 590.984619140625 0.0 57 1 0 - - 192.168.43.1@53_192.168.43.106@62273 452.24267578125 590.984619140625 "1970-01-01 00:00:00.452242676" "1970-01-01 00:00:00.452242676" "1970-01-01 00:00:00.590984619" "1970-01-01 00:00:00.590984619"  UNKNOWN 32.00B 57.00B
192.168.43.106 36289 461.69677734375 0.680917 6340 51 27 142.250.180.164 443 590.98583984375 0.588222 90583 84 27 www.google.com www.google.com 142.250.180.164@443_192.168.43.106@36289 462.377685546875 591.573974609375 "1970-01-01 00:00:00.461696777" "1970-01-01 00:00:00.462377686" "1970-01-01 00:00:00.590985840" "1970-01-01 00:00:00.591573975" www.google.com UDP_QUIC 6.19KB 88.46KB
192.168.43.106 52184 591.754638671875 0.356191 4807 11 27 142.250.102.84 443 693.562744140625 0.45342 10763 13 27 accounts.google.com accounts.google.com 142.250.102.84@443_192.168.43.106@52184 592.11083984375 694.01611328125 "1970-01-01 00:00:00.591754639" "1970-01-01 00:00:00.592110840" "1970-01-01 00:00:00.693562744" "1970-01-01 00:00:00.694016112" accounts.google.com UDP_QUIC 4.69KB 10.51KB
192.168.43.106 33926 1987.74560546875 0.0 33 1 19 192.168.43.1 53 2071.358642578125 0.0 49 1 19 - - 192.168.43.1@53_192.168.43.106@33926 1987.74560546875 2071.358642578125 "1970-01-01 00:00:01.987745605" "1970-01-01 00:00:01.987745605" "1970-01-01 00:00:02.071358643" "1970-01-01 00:00:02.071358643"  DNS 33.00B 49.00B
192.168.43.106 59173 1987.8466796875 0.0 33 1 0 192.168.43.1 53 2076.900634765625 0.0 83 1 0 - - 192.168.43.1@53_192.168.43.106@59173 1987.8466796875 2076.900634765625 "1970-01-01 00:00:01.987846680" "1970-01-01 00:00:01.987846680" "1970-01-01 00:00:02.076900635" "1970-01-01 00:00:02.076900635"  UNKNOWN 33.00B 83.00B
192.168.43.106 51998 2077.871826171875 0.224034 7167 14 27 142.251.209.14 443 2131.857421875 0.199195 9379 13 27 play.google.com play.google.com 142.251.209.14@443_192.168.43.106@51998 2078.095947265625 2132.056640625 "1970-01-01 00:00:02.077871826" "1970-01-01 00:00:02.078095947" "1970-01-01 00:00:02.131857422" "1970-01-01 00:00:02.132056641" play.google.com UDP_QUIC 7.00KB 9.16KB
192.168.43.106 5353 2464.0146484375 3.002131 120 3 0 224.0.0.251 5353 0.0 0.0 0 0 0 - - 224.0.0.251@5353_192.168.43.106@5353 2467.016845703125 0.0 "1970-01-01 00:00:02.464014648" "1970-01-01 00:00:02.467016846" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 120.00B 0B
192.168.43.106 26701 2466.50146484375 0.0 39 1 19 192.168.43.1 53 2470.57763671875 0.0 55 1 19 - - 192.168.43.1@53_192.168.43.106@26701 2466.50146484375 2470.57763671875 "1970-01-01 00:00:02.466501465" "1970-01-01 00:00:02.466501465" "1970-01-01 00:00:02.470577637" "1970-01-01 00:00:02.470577637"  DNS 39.00B 55.00B
192.168.43.106 59533 2466.597412109375 0.0 39 1 0 192.168.43.1 53 2506.482666015625 0.0 96 1 0 - - 192.168.43.1@53_192.168.43.106@59533 2466.597412109375 2506.482666015625 "1970-01-01 00:00:02.466597412" "1970-01-01 00:00:02.466597412" "1970-01-01 00:00:02.506482666" "1970-01-01 00:00:02.506482666"  UNKNOWN 39.00B 96.00B
192.168.43.106 56715 2476.830810546875 0.409515 7659 15 27 142.251.209.3 443 2531.1337890625 0.390388 10096 15 27 update.googleapis.com update.googleapis.com 142.251.209.3@443_192.168.43.106@56715 2477.240234375 2531.524169921875 "1970-01-01 00:00:02.476830811" "1970-01-01 00:00:02.477240234" "1970-01-01 00:00:02.531133789" "1970-01-01 00:00:02.531524170" update.googleapis.com UDP_QUIC 7.48KB 9.86KB
192.168.43.106 60189 10188.8828125 0.0 53 1 19 192.168.43.1 53 10421.670654296875 0.0 181 1 19 - - 192.168.43.1@53_192.168.43.106@60189 10188.8828125 10421.670654296875 "1970-01-01 00:00:10.188882812" "1970-01-01 00:00:10.188882812" "1970-01-01 00:00:10.421670654" "1970-01-01 00:00:10.421670654"  DNS 53.00B 181.00B
192.168.43.106 62174 10189.004638671875 0.0 53 1 0 192.168.43.1 53 10421.671630859375 0.0 110 1 0 - - 192.168.43.1@53_192.168.43.106@62174 10189.004638671875 10421.671630859375 "1970-01-01 00:00:10.189004639" "1970-01-01 00:00:10.189004639" "1970-01-01 00:00:10.421671631" "1970-01-01 00:00:10.421671631"  UNKNOWN 53.00B 110.00B
192.168.43.106 48853 10423.097412109375 0.435065 5789 14 27 216.58.204.234 443 10626.73974609375 0.394358 11941 16 27 optimizationguide-pa.googleapis.com optimizationguide-pa.googleapis.com 216.58.204.234@443_192.168.43.106@48853 10423.532470703125 10627.134033203125 "1970-01-01 00:00:10.423097412" "1970-01-01 00:00:10.423532471" "1970-01-01 00:00:10.626739746" "1970-01-01 00:00:10.627134033" pa.googleapis.com UDP_QUIC 5.65KB 11.66KB
192.168.43.106 42335 11032.57373046875 0.0 30 1 19 192.168.43.1 53 11090.15673828125 0.0 231 1 19 - - 192.168.43.1@53_192.168.43.106@42335 11032.57373046875 11090.15673828125 "1970-01-01 00:00:11.032573730" "1970-01-01 00:00:11.032573730" "1970-01-01 00:00:11.090156738" "1970-01-01 00:00:11.090156738"  DNS 30.00B 231.00B
192.168.43.106 6398 11032.67578125 0.0 30 1 0 192.168.43.1 53 11118.417724609375 0.0 112 1 0 - - 192.168.43.1@53_192.168.43.106@6398 11032.67578125 11118.417724609375 "1970-01-01 00:00:11.032675781" "1970-01-01 00:00:11.032675781" "1970-01-01 00:00:11.118417725" "1970-01-01 00:00:11.118417725"  UNKNOWN 30.00B 112.00B
192.168.43.106 12596 11648.81982421875 0.0 41 1 0 192.168.43.1 53 11753.052734375 0.0 122 1 0 - - 192.168.43.1@53_192.168.43.106@12596 11648.81982421875 11753.052734375 "1970-01-01 00:00:11.648819824" "1970-01-01 00:00:11.648819824" "1970-01-01 00:00:11.753052734" "1970-01-01 00:00:11.753052734"  UNKNOWN 41.00B 122.00B
192.168.43.106 16776 12660.0546875 0.0 41 1 19 192.168.43.1 53 12666.69482421875 0.0 89 1 19 - - 192.168.43.1@53_192.168.43.106@16776 12660.0546875 12666.69482421875 "1970-01-01 00:00:12.660054688" "1970-01-01 00:00:12.660054688" "1970-01-01 00:00:12.666694824" "1970-01-01 00:00:12.666694824"  DNS 41.00B 89.00B
192.168.43.106 40351 12685.11376953125 0.0 35 1 19 192.168.43.1 53 12755.983642578125 0.0 67 1 19 - - 192.168.43.1@53_192.168.43.106@40351 12685.11376953125 12755.983642578125 "1970-01-01 00:00:12.685113770" "1970-01-01 00:00:12.685113770" "1970-01-01 00:00:12.755983643" "1970-01-01 00:00:12.755983643"  DNS 35.00B 67.00B
192.168.43.106 23625 12685.184814453125 0.0 35 1 0 192.168.43.1 53 12755.984619140625 0.0 105 1 0 - - 192.168.43.1@53_192.168.43.106@23625 12685.184814453125 12755.984619140625 "1970-01-01 00:00:12.685184814" "1970-01-01 00:00:12.685184814" "1970-01-01 00:00:12.755984619" "1970-01-01 00:00:12.755984619"  UNKNOWN 35.00B 105.00B
