c_ip c_pt c_unix_ts_millis c_lifetime c_all_byts c_all_pkts c_protocol s_ip s_pt s_unix_ts_millis s_lifetime s_all_byts s_all_pkts s_protocol s_origin_dns_request s_origin_tls_chello connection_id c_unix_te_millis s_unix_te_millis c_datetime_ts c_datetime_te s_datetime_ts s_datetime_te app_token app_proto c_all_volume s_all_volume
192.168.43.106 7082 405.309326171875 0.0 47 1 19 192.168.43.1 53 619.49755859375 0.0 63 1 19 - - 192.168.43.1@53_192.168.43.106@7082 405.309326171875 619.49755859375 "1970-01-01 00:00:00.405309326" "1970-01-01 00:00:00.405309326" "1970-01-01 00:00:00.619497559" "1970-01-01 00:00:00.619497559"  DNS 47.00B 63.00B
192.168.43.106 65484 405.429443359375 0.0 47 1 0 192.168.43.1 53 619.49853515625 0.0 104 1 0 - - 192.168.43.1@53_192.168.43.106@65484 405.429443359375 619.49853515625 "1970-01-01 00:00:00.405429443" "1970-01-01 00:00:00.405429443" "1970-01-01 00:00:00.619498535" "1970-01-01 00:00:00.619498535"  UNKNOWN 47.00B 104.00B
192.168.43.106 48133 438.80419921875 0.0 37 1 19 192.168.43.1 53 619.50048828125 0.0 53 1 19 - - 192.168.43.1@53_192.168.43.106@48133 438.80419921875 619.50048828125 "1970-01-01 00:00:00.438804199" "1970-01-01 00:00:00.438804199" "1970-01-01 00:00:00.619500488" "1970-01-01 00:00:00.619500488"  DNS 37.00B 53.00B
192.168.43.106 32322 438.878173828125 0.0 37 1 0 192.168.43.1 53 619.50146484375 0.0 87 1 0 - - 192.168.43.1@53_192.168.43.106@32322 438.878173828125 619.50146484375 "1970-01-01 00:00:00.438878174" "1970-01-01 00:00:00.438878174" "1970-01-01 00:00:00.619501465" "1970-01-01 00:00:00.619501465"  UNKNOWN 37.00B 87.00B
192.168.43.106 41314 443.805419921875 3.002791 688 4 0 239.255.255.250 1900 0.0 0.0 0 0 0 - - 239.255.255.250@1900_192.168.43.106@41314 446.80810546875 0.0 "1970-01-01 00:00:00.443805420" "1970-01-01 00:00:00.446808105" "1970-01-01 00:00:00.000000000" "1970-01-01 00:00:00.000000000"  UNKNOWN 688.00B 0B
192.168.43.106 56951 465.136474609375 0.0 32 1 19 192.168.43.1 53 469.513427734375 0.0 48 1 19 - - 192.168.43.1@53_192.168.43.106@56951 465.136474609375 469.513427734375 "1970-01-01 00:00:00.465136475" "1970-01-01 00:00:00.465136475" "1970-01-01 00:00:00.469513428" "1970-01-01 00:00:00.469513428"  DNS 32.00B 48.00B
192.168.43.106 3026 465.193359375 0.0 32 1 0 192.168.43.1 53 619.502197265625 0.0 57 1 0 - - 192.168.43.1@53_192.168.43.106@3026 465.193359375 619.502197265625 "1970-01-01 00:00:00.465193359" "1970-01-01 00:00:00.465193359" "1970-01-01 00:00:00.619502197" "1970-01-01 00:00:00.619502197"  UNKNOWN 32.00B 57.00B
192.168.43.106 53486 475.7685546875 0.481751 6285 49 27 142.250.180.132 443 619.50341796875 0.385456 93893 85 27 www.google.com - 142.250.180.132@443_192.168.43.106@53486 476.250244140625 619.888916015625 "1970-01-01 00:00:00.475768555" "1970-01-01 00:00:00.476250244" "1970-01-01 00:00:00.619503418" "1970-01-01 00:00:00.619888916" www.google.com UDP_QUIC 6.14KB 91.69KB
192.168.43.106 55576 620.70849609375 0.487363 5764 15 27 142.250.27.84 443 704.424560546875 0.457418 11768 15 27 accounts.google.com accounts.google.com 142.250.27.84@443_192.168.43.106@55576 621.19580078125 704.882080078125 "1970-01-01 00:00:00.620708496" "1970-01-01 00:00:00.621195801" "1970-01-01 00:00:00.704424561" "1970-01-01 00:00:00.704882080" accounts.google.com UDP_QUIC 5.63KB 11.49KB
192.168.43.106 30787 2015.7314453125 0.0 33 1 19 192.168.43.1 53 2094.011474609375 0.0 49 1 19 - - 192.168.43.1@53_192.168.43.106@30787 2015.7314453125 2094.011474609375 "1970-01-01 00:00:02.015731445" "1970-01-01 00:00:02.015731445" "1970-01-01 00:00:02.094011475" "1970-01-01 00:00:02.094011475"  DNS 33.00B 49.00B
192.168.43.106 25977 2015.83056640625 0.0 33 1 0 192.168.43.1 53 2103.22216796875 0.0 83 1 0 - - 192.168.43.1@53_192.168.43.106@25977 2015.83056640625 2103.22216796875 "1970-01-01 00:00:02.015830566" "1970-01-01 00:00:02.015830566" "1970-01-01 00:00:02.103222168" "1970-01-01 00:00:02.103222168"  UNKNOWN 33.00B 83.00B
