event unix_ts from_origin_ms from_origin_s
origin 1721649616772.4038 0.0 0.0
sniffer-on 1721649616777.405 5.001220703125 0.005001220703125
dazn-on 1721649617096.48 324.076171875 0.324076171875
eurosport1-on 1721649647753.419 30981.01513671875 30.98101513671875
eurosport1-off 1721649740752.893 123980.4892578125 123.9804892578125
zonadazn-on 1721649752410.9805 135638.57666015625 135.63857666015625
zonadazn-off 1721649864410.2302 247637.82641601562 247.63782641601563
nfltv-on 1721649877069.813 260297.4091796875 260.2974091796875
nfltv-off 1721649997069.8784 380297.474609375 380.297474609375
milantv-on 1721650003728.4502 386956.04638671875 386.95604638671875
milantv-off 1721650104728.2253 487955.8215332031 487.9558215332031
intertv-on 1721650111387.4753 494615.0715332031 494.61507153320315
intertv-off 1721650215387.4573 598615.0534667969 598.6150534667969
eurosport2-on 1721650230046.7324 613274.3286132812 613.2743286132812
eurosport2-off 1721650322046.4949 705274.0910644531 705.2740910644532
dazn-off 1721650331488.971 714716.5671386719 714.7165671386718
sniffer-off 1721650331558.985 714786.5812988281 714.7865812988281
