c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.84.55 62404 23.40.157.96 443 3674.49658203125 371.523 14 1 13 7 2074 4 0 0 0 1 1 15 0 15 1 13962 12 0 0 0 1 1 23.40.157.96@443_192.168.84.55@62404 4046.01958203125 "1970-01-01 00:00:03.674496582" "1970-01-01 00:00:04.046019582" 2.03KB 13.63KB "0.04 kbits" "0.30 kbits" ott.sky.com ?
192.168.84.55 62417 23.40.157.96 443 7411.009521484375 180.556 9 1 8 2 1667 4 0 0 0 1 1 8 0 8 3 1856 4 0 0 0 1 0 23.40.157.96@443_192.168.84.55@62417 7591.565521484375 "1970-01-01 00:00:07.411009521" "1970-01-01 00:00:07.591565521" 1.63KB 1.81KB "0.07 kbits" "0.08 kbits" ott.sky.com ?
192.168.84.55 62423 104.120.111.190 443 8897.765625 158.408 9 1 8 3 870 3 0 0 0 1 1 10 0 10 2 4920 7 0 0 0 1 0 104.120.111.190@443_192.168.84.55@62423 9056.173625 "1970-01-01 00:00:08.897765625" "1970-01-01 00:00:09.056173625" 870.00B 4.80KB "0.04 kbits" "0.25 kbits" ott.sky.com ?
192.168.84.55 62425 23.52.38.143 443 9336.963623046875 217.31 10 1 9 4 1654 3 0 0 0 1 1 10 0 10 2 5891 7 0 0 0 1 0 23.52.38.143@443_192.168.84.55@62425 9554.273623046874 "1970-01-01 00:00:09.336963623" "1970-01-01 00:00:09.554273623" 1.62KB 5.75KB "0.06 kbits" "0.22 kbits" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62427 23.52.38.143 443 9556.195556640625 211.153 7 1 6 1 1579 3 0 0 0 1 1 7 0 7 3 1448 3 0 0 0 1 0 23.52.38.143@443_192.168.84.55@62427 9767.348556640625 "1970-01-01 00:00:09.556195557" "1970-01-01 00:00:09.767348557" 1.54KB 1.41KB "0.06 kbits" "0.05 kbits" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62452 23.40.157.96 443 13938.553466796875 617.808 10 1 9 6 517 1 0 0 0 1 1 13 0 13 1 11504 11 1 401 0 1 0 23.40.157.96@443_192.168.84.55@62452 14556.361466796876 "1970-01-01 00:00:13.938553467" "1970-01-01 00:00:14.556361467" 517.00B 11.23KB "0.01 kbits" "0.15 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62442 185.26.140.126 443 11804.674560546875 279.117 13 0 12 4 8932 8 0 0 0 1 0 12 0 12 8 3155 3 0 0 0 1 0 185.26.140.126@443_192.168.84.55@62442 12083.791560546875 "1970-01-01 00:00:11.804674561" "1970-01-01 00:00:12.083791561" 8.72KB 3.08KB "0.26 kbits" "0.09 kbits" drm-sgw.skycdn.it HTTP
192.168.84.55 62442 185.26.140.126 443 15320.474609375 0.0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 185.26.140.126@443_192.168.84.55@62442 15320.474609375 "1970-01-01 00:00:15.320474609" "1970-01-01 00:00:15.320474609" 0B 0B NaN NaN drm-sgw.skycdn.it HTTP
192.168.84.55 62461 23.51.48.42 443 14565.618408203125 912.244 16 0 15 8 4072 7 0 0 0 1 0 17 0 17 2 12059 14 1 498 0 1 0 23.51.48.42@443_192.168.84.55@62461 15477.862408203126 "1970-01-01 00:00:14.565618408" "1970-01-01 00:00:15.477862408" 3.98KB 11.78KB "0.04 kbits" "0.11 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62458 23.51.48.42 443 14565.41455078125 927.434 17 0 16 8 4741 8 0 0 0 1 0 20 0 20 4 15032 15 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62458 15492.84855078125 "1970-01-01 00:00:14.565414551" "1970-01-01 00:00:15.492848551" 4.63KB 14.68KB "0.04 kbits" "0.13 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62457 23.51.48.42 443 14565.32958984375 944.096 20 0 19 10 5438 9 0 0 0 1 0 21 0 21 2 17017 18 1 848 0 1 0 23.51.48.42@443_192.168.84.55@62457 15509.42558984375 "1970-01-01 00:00:14.565329590" "1970-01-01 00:00:15.509425590" 5.31KB 16.62KB "0.05 kbits" "0.14 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62462 23.51.48.42 443 14565.679443359375 959.876 18 0 17 9 4741 8 0 0 0 1 0 19 0 19 2 14037 16 1 499 0 1 0 23.51.48.42@443_192.168.84.55@62462 15525.555443359375 "1970-01-01 00:00:14.565679443" "1970-01-01 00:00:15.525555443" 4.63KB 13.71KB "0.04 kbits" "0.12 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62460 23.51.48.42 443 14565.55224609375 993.822 17 0 16 8 4741 8 0 0 0 1 0 19 0 19 3 15204 15 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62460 15559.37424609375 "1970-01-01 00:00:14.565552246" "1970-01-01 00:00:15.559374246" 4.63KB 14.85KB "0.04 kbits" "0.12 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62459 23.51.48.42 443 14565.492431640625 978.298 21 0 20 11 5438 9 0 0 0 1 0 22 0 22 1 20185 20 1 751 0 1 0 23.51.48.42@443_192.168.84.55@62459 15543.790431640626 "1970-01-01 00:00:14.565492432" "1970-01-01 00:00:15.543790432" 5.31KB 19.71KB "0.04 kbits" "0.17 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62456 23.40.157.96 443 14521.8994140625 493.552 12 0 11 8 1221 3 0 0 0 1 0 15 0 15 1 13400 13 1 229 0 1 0 23.40.157.96@443_192.168.84.55@62456 15015.4514140625 "1970-01-01 00:00:14.521899414" "1970-01-01 00:00:15.015451414" 1.19KB 13.09KB "0.02 kbits" "0.22 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62468 23.214.205.236 443 16042.276611328125 364.504 15 0 14 11 1267 3 0 0 0 1 0 22 0 22 2 24219 19 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62468 16406.780611328126 "1970-01-01 00:00:16.042276611" "1970-01-01 00:00:16.406780611" 1.24KB 23.65KB "0.03 kbits" "0.53 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62471 23.51.48.42 443 16159.463623046875 700.279 8 0 7 3 1345 4 1 517 0 1 0 6 0 6 1 4595 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62471 16859.742623046874 "1970-01-01 00:00:16.159463623" "1970-01-01 00:00:16.859742623" 1.31KB 4.49KB "0.02 kbits" "0.05 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62467 23.214.205.236 443 16042.185546875 532.485 15 0 14 11 1267 3 0 0 0 1 0 22 0 22 2 24218 19 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62467 16574.670546875 "1970-01-01 00:00:16.042185547" "1970-01-01 00:00:16.574670547" 1.24KB 23.65KB "0.02 kbits" "0.36 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62469 23.214.205.236 443 16044.16748046875 684.142 15 0 14 11 1267 3 0 0 0 1 0 22 0 22 2 24217 19 0 0 0 1 0 23.214.205.236@443_192.168.84.55@62469 16728.30948046875 "1970-01-01 00:00:16.044167480" "1970-01-01 00:00:16.728309480" 1.24KB 23.65KB "0.01 kbits" "0.28 kbits" skyq.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62472 23.51.48.42 443 16159.58251953125 930.064 9 0 8 3 1353 5 2 1353 0 1 0 6 0 6 1 4596 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62472 17089.64651953125 "1970-01-01 00:00:16.159582520" "1970-01-01 00:00:17.089646520" 1.32KB 4.49KB "0.01 kbits" "0.04 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62488 2.22.32.204 443 16411.2255859375 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.204@443_192.168.84.55@62488 16411.2255859375 "1970-01-01 00:00:16.411225586" "1970-01-01 00:00:16.411225586" 0B 0B NaN NaN imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62470 63.140.62.222 443 16109.70361328125 913.52 8 0 7 2 1910 5 1 517 0 1 0 5 0 5 1 3796 3 0 0 0 1 0 63.140.62.222@443_192.168.84.55@62470 17023.22361328125 "1970-01-01 00:00:16.109703613" "1970-01-01 00:00:17.023223613" 1.87KB 3.71KB "0.02 kbits" "0.03 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_null
192.168.84.55 62473 23.51.48.42 443 16159.717529296875 971.205 9 0 8 3 1347 5 2 1347 0 1 0 6 0 6 1 4595 4 0 0 0 1 0 23.51.48.42@443_192.168.84.55@62473 17130.922529296877 "1970-01-01 00:00:16.159717529" "1970-01-01 00:00:17.130922529" 1.32KB 4.49KB "0.01 kbits" "0.04 kbits" search.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62487 2.22.32.177 443 16319.30859375 943.852 3 0 2 1 517 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 1 0 2.22.32.177@443_192.168.84.55@62487 17263.16059375 "1970-01-01 00:00:16.319308594" "1970-01-01 00:00:17.263160594" 517.00B 0B "0.00 kbits" "0.00 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.84.55 62456 23.40.157.96 443 16287.194580078125 871.879 5 0 5 1 1140 4 2 1140 0 0 0 2 0 2 0 2746 2 0 0 0 0 0 23.40.157.96@443_192.168.84.55@62456 17159.073580078126 "1970-01-01 00:00:16.287194580" "1970-01-01 00:00:17.159073580" 1.11KB 2.68KB "0.01 kbits" "0.03 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.84.55 62490 2.22.32.177 443 16531.173583984375 0.0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2.22.32.177@443_192.168.84.55@62490 16531.173583984375 "1970-01-01 00:00:16.531173584" "1970-01-01 00:00:16.531173584" 0B 0B NaN NaN imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
