action unix_ts from_origin_ts from_origin_s
origin 1720957387848.4219 0.0 0.0
sniffer-on 1720957387853.424 5.002197265625 0.005002197265625
skygo-on 1720957387858.4385 10.0166015625 0.0100166015625
skysportuno-on 1720957430534.1406 42685.71875 42.68571875
skysportuno-off 1720957610533.2986 222684.87670898438 222.68487670898438
skysportcalcio-on 1720957619753.5117 231905.08984375 231.90508984375
skysportcalcio-off 1720957799753.3596 411904.9377441406 411.9049377441406
skysporttennis-on 1720957812944.3855 425095.9636230469 425.0959636230469
skysporttennis-off 1720957992944.2722 605095.8503417969 605.0958503417969
skygo-off 1720958009435.2573 621586.8354492188 621.5868354492187
sniffer-off 1720958009511.2732 621662.8513183594 621.6628513183593
