c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume
192.168.84.55 50328 13 1 12 6 2074 4 0 0 0 1 1 23.40.157.96 443 14 0 14 1 13963 12 0 0 0 1 0 3660.007080078125 3972.029296875 8192 desktop.client.ott.sky.com ott.sky.com 0 0 desktop.client.ott.sky.com - 23.40.157.96@443_192.168.84.55@50328 "1970-01-01 00:00:03.660007080" "1970-01-01 00:00:03.972029297" ott.sky.com ? 2.03KB 13.64KB
192.168.84.55 50340 9 1 8 2 1667 4 0 0 0 1 1 23.40.157.96 443 8 0 8 3 1856 4 0 0 0 1 0 7318.40234375 7501.75244140625 8192 desktop.client.ott.sky.com - 0 0 desktop.client.ott.sky.com - 23.40.157.96@443_192.168.84.55@50340 "1970-01-01 00:00:07.318402344" "1970-01-01 00:00:07.501752441" ott.sky.com ? 1.63KB 1.81KB
192.168.84.55 50346 9 1 8 3 870 3 0 0 0 1 1 104.120.111.190 443 10 0 10 2 4922 7 0 0 0 1 0 8858.721435546875 8992.159423828125 8192 desktopclient.ott.sky.com - 0 0 desktopclient.ott.sky.com - 104.120.111.190@443_192.168.84.55@50346 "1970-01-01 00:00:08.858721436" "1970-01-01 00:00:08.992159424" ott.sky.com ? 870.00B 4.81KB
192.168.84.55 50348 11 0 10 6 1654 3 0 0 0 1 1 23.52.38.143 443 12 0 12 3 5891 7 0 0 0 1 1 9279.204345703125 9570.205078125 8192 p.sky.com go.sky.com 160 32 p.sky.com - 23.52.38.143@443_192.168.84.55@50348 "1970-01-01 00:00:09.279204346" "1970-01-01 00:00:09.570205078" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x 1.62KB 5.75KB
192.168.84.55 50366 13 0 12 4 8932 8 0 0 0 1 0 185.26.140.126 443 13 1 13 8 3155 3 0 0 0 1 0 11659.007080078125 13788.173095703125 1 - - 0 0 pskyq-drm-sgw.skycdn.it - 185.26.140.126@443_192.168.84.55@50366 "1970-01-01 00:00:11.659007080" "1970-01-01 00:00:13.788173096" drm-sgw.skycdn.it HTTP 8.72KB 3.08KB
192.168.84.55 50375 9 1 8 5 517 1 0 0 0 1 1 23.40.157.96 443 12 0 12 1 11504 10 0 0 0 1 0 13848.457275390625 14169.3125 8192 atlantis.epgsky.com ott.sky.com 160 32 atlantis.epgsky.com - 23.40.157.96@443_192.168.84.55@50375 "1970-01-01 00:00:13.848457275" "1970-01-01 00:00:14.169312500" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x 517.00B 11.23KB
192.168.84.55 50407 5 1 4 1 517 1 0 0 0 1 1 2.22.32.204 443 3 0 3 1 1400 1 0 0 0 1 0 15493.261474609375 16533.88427734375 8192 ethaneurope.it.imageservice.sky.com shop.sky.com 160 128 ethaneurope.it.imageservice.sky.com - 2.22.32.204@443_192.168.84.55@50407 "1970-01-01 00:00:15.493261475" "1970-01-01 00:00:16.533884277" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2 517.00B 1.37KB
192.168.84.55 50406 5 1 4 1 517 1 0 0 0 1 1 2.22.32.204 443 3 0 3 1 1400 1 0 0 0 1 0 15493.08349609375 16556.08447265625 8192 ethaneurope.it.imageservice.sky.com shop.sky.com 160 128 ethaneurope.it.imageservice.sky.com - 2.22.32.204@443_192.168.84.55@50406 "1970-01-01 00:00:15.493083496" "1970-01-01 00:00:16.556084473" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2 517.00B 1.37KB
192.168.84.55 50489 15 0 14 5 3284 8 0 0 0 1 1 20.50.80.209 443 19 0 19 9 4790 8 0 0 0 1 1 39698.7724609375 40225.30029296875 8192 v10.events.data.microsoft.com *.events.data.microsoft.com 160 128 v10.events.data.microsoft.com - 20.50.80.209@443_192.168.84.55@50489 "1970-01-01 00:00:39.698772461" "1970-01-01 00:00:40.225300293" data.microsoft.com HTTP/1.x-HTTP/2_HTTP/2 3.21KB 4.68KB
192.168.84.55 50511 22 1 21 16 1272 3 0 0 0 1 1 104.104.52.234 443 35 0 35 2 42126 32 0 0 0 1 0 44558.060302734375 44851.05029296875 8192 dashvod-acdn-skycdn-it.akamaized.net - 160 0 dashvod-acdn-skycdn-it.akamaized.net - 104.104.52.234@443_192.168.84.55@50511 "1970-01-01 00:00:44.558060303" "1970-01-01 00:00:44.851050293" acdn-skycdn-it.akamaized.net HTTP/1.x-HTTP/2_null 1.24KB 41.14KB
