c_ip c_pt c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_ip s_pt s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts unix_ts_millis unix_te_millis protocol s_origin_tls_chello s_origin_tls_shello c_http_version s_http_version s_origin_dns_request s_hostname connection_id datetime_ts datetime_te app_token app_proto c_app_volume s_app_volume
192.168.166.55 51315 12 0 11 5 1901 5 0 0 0 1 1 23.40.157.96 443 14 1 13 2 15719 9 0 0 0 1 1 7239.35693359375 7476.69677734375 8192 desktop.client.ott.sky.com ott.sky.com 1 10 desktop.client.ott.sky.com - 23.40.157.96@443_192.168.166.55@51315 "1970-01-01 00:00:07.239356934" "1970-01-01 00:00:07.476696777" ott.sky.com "SPDY (*)_HTTP/1.x-HTTP/2" 1.86KB 15.35KB
192.168.166.55 51316 8 0 7 2 1778 4 0 0 0 1 1 23.40.157.96 443 8 1 7 1 3616 4 0 0 0 1 1 9511.935546875 9669.708740234375 8192 desktop.client.ott.sky.com - 1 10 desktop.client.ott.sky.com - 23.40.157.96@443_192.168.166.55@51316 "1970-01-01 00:00:09.511935547" "1970-01-01 00:00:09.669708740" ott.sky.com "SPDY (*)_HTTP/1.x-HTTP/2" 1.74KB 3.53KB
192.168.166.55 51317 9 0 8 3 756 4 0 0 0 1 1 104.120.111.190 443 9 1 8 1 4580 5 0 0 0 1 1 12096.222900390625 12240.8798828125 8192 desktopclient.ott.sky.com intlott.sky.com 1 2 desktopclient.ott.sky.com - 104.120.111.190@443_192.168.166.55@51317 "1970-01-01 00:00:12.096222900" "1970-01-01 00:00:12.240879883" ott.sky.com "SPDY (*)_HTTP/1.x" 756.00B 4.47KB
192.168.166.55 51319 10 0 9 5 1326 3 0 0 0 1 1 23.52.38.143 443 12 1 11 2 5914 7 0 0 0 1 1 13485.155517578125 13699.091552734375 8192 p.sky.com go.sky.com 160 32 p.sky.com - 23.52.38.143@443_192.168.166.55@51319 "1970-01-01 00:00:13.485155518" "1970-01-01 00:00:13.699091553" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x 1.29KB 5.78KB
192.168.166.55 51320 7 0 6 2 905 3 0 0 0 1 1 104.120.111.190 443 7 1 6 1 1032 3 0 0 0 1 1 13611.16552734375 13718.411865234375 8192 desktopclient.ott.sky.com - 1 2 desktopclient.ott.sky.com - 104.120.111.190@443_192.168.166.55@51320 "1970-01-01 00:00:13.611165527" "1970-01-01 00:00:13.718411865" ott.sky.com "SPDY (*)_HTTP/1.x" 905.00B 1.01KB
192.168.166.55 51333 7 1 6 3 207 1 0 0 0 1 1 23.40.157.96 443 10 0 10 1 11501 7 0 0 0 1 1 17015.291748046875 17136.016845703125 8192 atlantis.epgsky.com ott.sky.com 160 32 atlantis.epgsky.com - 23.40.157.96@443_192.168.166.55@51333 "1970-01-01 00:00:17.015291748" "1970-01-01 00:00:17.136016846" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x 207.00B 11.23KB
192.168.166.55 51330 13 0 12 4 8916 8 0 0 0 1 0 185.26.140.126 443 9 1 9 4 3157 3 0 0 0 1 0 13992.405517578125 19069.4267578125 1 - - 0 0 pskyq-drm-sgw.skycdn.it - 185.26.140.126@443_192.168.166.55@51330 "1970-01-01 00:00:13.992405518" "1970-01-01 00:00:19.069426758" drm-sgw.skycdn.it HTTP 8.71KB 3.08KB
192.168.166.55 51358 8 1 7 3 568 2 0 0 0 1 1 2.22.32.177 443 8 0 8 2 223 3 1 0 0 2 1 18781.5595703125 34998.48095703125 8192 it.imageservice.sky.com - 160 128 it.imageservice.sky.com - 2.22.32.177@443_192.168.166.55@51358 "1970-01-01 00:00:18.781559570" "1970-01-01 00:00:34.998480957" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2 568.00B 223.00B
192.168.166.55 51357 6 1 5 1 568 2 0 0 0 1 1 23.214.205.236 443 6 0 6 2 183 2 0 0 0 1 1 18707.98681640625 35034.94287109375 8192 cdn.skyq.sky.com - 160 32 cdn.skyq.sky.com - 23.214.205.236@443_192.168.166.55@51357 "1970-01-01 00:00:18.707986816" "1970-01-01 00:00:35.034942871" skyq.sky.com HTTP/1.x-HTTP/2_HTTP/1.x 568.00B 183.00B
192.168.166.55 51361 9 0 8 3 1345 4 0 0 0 1 1 23.52.38.143 443 10 1 9 2 5436 5 0 0 0 1 1 36110.905517578125 36292.65185546875 8192 p.sky.com go.sky.com 1 2 p.sky.com - 23.52.38.143@443_192.168.166.55@51361 "1970-01-01 00:00:36.110905518" "1970-01-01 00:00:36.292651855" p.sky.com "SPDY (*)_HTTP/1.x" 1.31KB 5.31KB
192.168.166.55 51363 7 1 6 2 300 2 0 0 0 1 1 63.140.62.222 443 5 0 5 1 4176 3 0 0 0 1 0 36297.451904296875 36478.48583984375 8192 bskyb.hb.omtrdc.net *.hb.omtrdc.net 160 128 bskyb.hb.omtrdc.net - 63.140.62.222@443_192.168.166.55@51363 "1970-01-01 00:00:36.297451904" "1970-01-01 00:00:36.478485840" hb.omtrdc.net HTTP/1.x-HTTP/2_HTTP/2 300.00B 4.08KB
192.168.166.55 51384 22 0 21 6 6378 14 0 0 0 1 1 35.71.191.239 443 29 0 29 15 6526 11 1 0 0 1 2 39049.7607421875 69200.64794921875 8192 italy.scorecardresearch.com italy.scorecardresearch.com 160 128 italy.scorecardresearch.com - 35.71.191.239@443_192.168.166.55@51384 "1970-01-01 00:00:39.049760742" "1970-01-01 00:01:09.200647949" italy.scorecardresearch.com HTTP/1.x-HTTP/2_HTTP/2 6.23KB 6.37KB
192.168.166.55 51348 30 1 29 13 6826 14 0 0 0 1 1 63.140.62.27 443 25 0 25 8 5838 15 0 0 0 1 1 18241.120849609375 74059.88891601562 8192 smetrics.sky.com smetrics.sky.com 160 128 - - 63.140.62.27@443_192.168.166.55@51348 "1970-01-01 00:00:18.241120850" "1970-01-01 00:01:14.059888916" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2 6.67KB 5.70KB
