c_ip c_pt s_ip s_pt unix_ts_millis lifetime c_all_pkts c_rst_pkts c_ack_pkts c_pure_ack_pkts c_app_byts c_app_pkts c_rxt_pkts c_rxt_byts c_ooo_pkts c_syn_pkts c_fin_pkts s_all_pkts s_rst_pkts s_ack_pkts s_pure_ack_pkts s_app_byts s_app_pkts s_rxt_pkts s_rxt_byts s_ooo_pkts s_syn_pkts s_fin_pkts connection_id unix_te_millis datetime_ts datetime_te c_app_volume s_app_volume c_app_rate_kbits s_app_rate_kbits app_token app_proto
192.168.166.55 51540 23.40.157.96 443 7277.0380859375 284.647 13 0 12 6 1901 5 0 0 0 1 1 14 1 13 2 15719 9 0 0 0 1 1 23.40.157.96@443_192.168.166.55@51540 7561.6850859375 "1970-01-01 00:00:07.277038086" "1970-01-01 00:00:07.561685086" 1.86KB 15.35KB "0.05 kbits" "0.44 kbits" ott.sky.com "SPDY (*)_HTTP/1.x-HTTP/2"
192.168.166.55 51541 23.40.157.96 443 9560.207763671875 147.254 8 0 7 2 1778 4 0 0 0 1 1 9 1 8 2 3616 4 0 0 0 1 1 23.40.157.96@443_192.168.166.55@51541 9707.461763671876 "1970-01-01 00:00:09.560207764" "1970-01-01 00:00:09.707461764" 1.74KB 3.53KB "0.10 kbits" "0.20 kbits" ott.sky.com "SPDY (*)_HTTP/1.x-HTTP/2"
192.168.166.55 51542 23.50.158.231 443 12096.68310546875 195.678 9 0 8 3 756 4 0 0 0 1 1 9 1 8 1 4580 5 0 0 0 1 1 23.50.158.231@443_192.168.166.55@51542 12292.36110546875 "1970-01-01 00:00:12.096683105" "1970-01-01 00:00:12.292361105" 756.00B 4.47KB "0.03 kbits" "0.19 kbits" ott.sky.com "SPDY (*)_HTTP/1.x"
192.168.166.55 51544 23.52.38.143 443 13480.2998046875 166.574 9 0 8 4 1326 3 0 0 0 1 1 11 1 10 1 5914 7 0 0 0 1 1 23.52.38.143@443_192.168.166.55@51544 13646.8738046875 "1970-01-01 00:00:13.480299805" "1970-01-01 00:00:13.646873805" 1.29KB 5.78KB "0.06 kbits" "0.28 kbits" p.sky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51545 23.50.158.231 443 13618.39013671875 172.073 7 0 6 2 905 3 0 0 0 1 1 7 1 6 1 1032 3 0 0 0 1 1 23.50.158.231@443_192.168.166.55@51545 13790.46313671875 "1970-01-01 00:00:13.618390137" "1970-01-01 00:00:13.790463137" 905.00B 1.01KB "0.04 kbits" "0.05 kbits" ott.sky.com "SPDY (*)_HTTP/1.x"
192.168.166.55 51558 23.40.157.96 443 17019.6591796875 142.919 9 1 8 5 207 1 0 0 0 1 1 9 0 9 1 11499 7 0 0 0 1 0 23.40.157.96@443_192.168.166.55@51558 17162.5781796875 "1970-01-01 00:00:17.019659180" "1970-01-01 00:00:17.162578180" 207.00B 11.23KB "0.01 kbits" "0.64 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51559 23.40.157.96 443 17143.398193359375 105.896 10 0 9 6 802 3 0 0 0 1 0 11 0 11 1 13628 9 0 0 0 1 0 23.40.157.96@443_192.168.166.55@51559 17249.294193359376 "1970-01-01 00:00:17.143398193" "1970-01-01 00:00:17.249294193" 802.00B 13.31KB "0.06 kbits" "1.03 kbits" atlantis.epgsky.com HTTP/1.x-HTTP/2_HTTP/1.x
192.168.166.55 51566 2.22.32.204 443 17995.76318359375 978.693 423 0 422 381 4783 41 0 0 0 1 0 473 0 473 9 1008907 463 0 0 0 1 0 2.22.32.204@443_192.168.166.55@51566 18974.45618359375 "1970-01-01 00:00:17.995763184" "1970-01-01 00:00:18.974456184" 4.67KB 985.26KB "0.04 kbits" "8.25 kbits" imageservice.sky.com HTTP/1.x-HTTP/2_HTTP/2
192.168.166.55 51555 185.26.140.126 443 14010.385009765625 243.213 12 0 11 3 8916 8 0 0 0 1 0 8 0 8 4 3157 3 0 0 0 1 0 185.26.140.126@443_192.168.166.55@51555 14253.598009765625 "1970-01-01 00:00:14.010385010" "1970-01-01 00:00:14.253598010" 8.71KB 3.08KB "0.29 kbits" "0.10 kbits" drm-sgw.skycdn.it HTTP
192.168.166.55 51555 185.26.140.126 443 19395.769775390625 0.0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 185.26.140.126@443_192.168.166.55@51555 19395.769775390625 "1970-01-01 00:00:19.395769775" "1970-01-01 00:00:19.395769775" 0B 0B NaN NaN drm-sgw.skycdn.it HTTP
192.168.166.55 51573 63.140.62.17 443 18229.467041015625 813.986 14 0 13 5 2468 8 0 0 0 1 0 12 0 12 4 4755 7 0 0 0 1 0 63.140.62.17@443_192.168.166.55@51573 19043.453041015626 "1970-01-01 00:00:18.229467041" "1970-01-01 00:00:19.043453041" 2.41KB 4.64KB "0.02 kbits" "0.05 kbits" smetrics.sky.com HTTP/1.x-HTTP/2_HTTP/2
