action now from
origin 1716365104590.951 0.0
sniffer-on 1716365104593.9456 2.99462890625
sky-on 1716365104928.9363 337.985595703125
skytg24-on 1716365135830.9065 31239.95556640625
skytg24-off 1716365198279.8567 93688.90576171876
raiuno-on 1716365208846.315 104255.36401367188
raiuno-off 1716365271294.4832 166703.5322265625
raidue-on 1716365281861.5254 177270.57446289062
raidue-off 1716365344293.2742 239702.3232421875
raitre-on 1716365354860.119 250269.16772460935
raitre-off 1716365417308.6562 312717.7053222656
retequattro-on 1716365427876.357 323285.4060058594
retequattro-off 1716365490324.7417 385733.79052734375
canalecinque-on 1716365500890.8628 396299.9118652344
canalecinque-off 1716365563339.356 458748.4050292969
italiauno-on 1716365573906.337 469315.3859863281
italiauno-off 1716365636355.1318 531764.1809082031
sky-off 1716365646455.8645 541864.9135742188
sniffer-off 1716365666463.5928 561872.6418457031
