event unix_ts from_origin_ms from_origin_s
origin 1716364542751.4412 0.0 0.0
sniffer-on 1716364542754.283 2.841796875 0.002841796875
sky-on 1716364543072.8193 321.378173828125 0.321378173828125
skytg24-on 1716364573973.8687 31222.427490234375 31.222427490234374
skytg24-off 1716364636422.6226 93671.18139648438 93.67118139648437
raiuno-on 1716364646989.9343 104238.4931640625 104.2384931640625
raiuno-off 1716364709437.5305 166686.08935546875 166.68608935546874
raidue-on 1716364720005.7388 177254.29760742188 177.25429760742188
raidue-off 1716364782453.8914 239702.4501953125 239.7024501953125
raitre-on 1716364793002.8298 250251.388671875 250.251388671875
raitre-off 1716364855452.9207 312701.4794921875 312.7014794921875
retequattro-on 1716364866018.5352 323267.0939941406 323.2670939941406
retequattro-off 1716364928467.0085 385715.5673828125 385.7155673828125
canalecinque-on 1716364939034.2292 396282.7880859375 396.2827880859375
canalecinque-off 1716365001482.8806 458731.439453125 458.731439453125
italiauno-on 1716365012032.8389 469281.3977050781 469.2813977050781
italiauno-off 1716365074481.5723 531730.1311035156 531.7301311035156
sky-off 1716365084582.8464 541831.4052734375 541.8314052734376
sniffer-off 1716365104590.951 561839.509765625 561.839509765625
