event unix_ts from_origin_ms from_origin_s
origin 1716352973999.9995 0.0 0.0
sniffer-on 1716352974005.0024 5.0029296875 0.0050029296875
sky-on 1716352974398.0928 398.09326171875 0.39809326171875
skytg24-on 1716352995314.0862 21314.086669921875 21.314086669921874
skytg24-off 1716353055529.4216 81529.42211914062 81.52942211914062
raiuno-on 1716353066072.192 92072.1923828125 92.0721923828125
raiuno-off 1716353126274.6077 152274.60815429688 152.27460815429689
raidue-on 1716353136821.3704 162821.37084960938 162.82137084960937
raidue-off 1716353197023.2517 223023.25219726562 223.02325219726563
raitre-on 1716353207567.3708 233567.37133789062 233.56737133789062
raitre-off 1716353267769.3135 293769.31396484375 293.7693139648438
retequattro-on 1716353278299.4106 304299.4111328125 304.2994111328125
retequattro-off 1716353338501.576 364501.5764160156 364.5015764160156
canalecinque-on 1716353349033.0183 375033.0187988281 375.03301879882815
canalecinque-off 1716353409234.4512 435234.45166015625 435.23445166015625
italiauno-on 1716353419782.831 445782.83154296875 445.7828315429687
italiauno-off 1716353479984.6384 505984.6389160156 505.9846389160156
sky-off 1716353492799.0115 518799.0119628906 518.7990119628906
sniffer-off 1716353512811.9219 538811.9223632812 538.8119223632813
