event unix_ts from_origin_ms from_origin_s
origin 1720960775565.878 0.0 0.0
sniffer-on 1720960775571.8943 6.016357421875 0.006016357421875
skygo-on 1720960775576.8896 11.01171875 0.01101171875
skysportuno-on 1720960818240.8125 42674.9345703125 42.6749345703125
skysportuno-off 1720960998240.1018 222674.22387695312 222.67422387695314
skysportcalcio-on 1720961014454.7458 238888.86791992188 238.88886791992186
skysportcalcio-off 1720961194454.1877 418888.3098144531 418.8883098144531
skysporttennis-on 1720961213658.154 438092.2761230469 438.0922761230469
skysporttennis-off 1720961393658.1685 618092.2905273438 618.0922905273437
skygo-off 1720961410195.7725 634629.89453125 634.62989453125
sniffer-off 1720961410264.7866 634698.9086914062 634.6989086914062
